# Sweep MEMS 2D (VDC E3646A x Frequenza 33220A) - 20260908_130623
"# VDC da 0.0V a 5.0V (passo 1.0V, 6 curve)"
"# f_center=417520.0 Hz, span=+/-400.0 Hz, pts=301, navg=128"
vdc_target_V,vdc_meas_V,idc_meas_A,step_f,frequency_Hz,freq_readback_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB,Phase_deg
1.00,1.002,-1.338002e-04,87,417349.333,417349.333,9.270000e-02,1.040000e+00,1.121899e+01,20.999,69.900
1.00,1.002,-1.338002e-04,88,417352.000,417352.000,9.260000e-02,1.049000e+00,1.132829e+01,21.083,69.300
1.00,1.002,-1.338002e-04,89,417354.667,417354.667,9.280000e-02,1.046000e+00,1.127155e+01,21.040,70.000
1.00,1.002,-1.338002e-04,90,417357.333,417357.333,9.270000e-02,1.045000e+00,1.127292e+01,21.041,70.100
1.00,1.002,-1.338002e-04,91,417360.000,417360.000,9.250000e-02,1.043000e+00,1.127568e+01,21.043,70.500
1.00,1.002,-1.338002e-04,92,417362.667,417362.667,9.260000e-02,1.042000e+00,1.125270e+01,21.025,70.500
1.00,1.002,-1.338002e-04,93,417365.333,417365.333,9.260000e-02,1.047000e+00,1.130670e+01,21.067,69.500
1.00,1.002,-1.338002e-04,94,417368.000,417368.000,9.270000e-02,1.045000e+00,1.127292e+01,21.041,70.100
1.00,1.002,-1.338002e-04,95,417370.667,417370.667,9.270000e-02,1.039000e+00,1.120820e+01,20.991,70.200
1.00,1.002,-1.338002e-04,96,417373.333,417373.333,9.270000e-02,1.044000e+00,1.126214e+01,21.032,69.700
1.00,1.002,-1.338002e-04,97,417376.000,417376.000,9.250000e-02,1.039000e+00,1.123243e+01,21.009,70.400
1.00,1.002,-1.338002e-04,98,417378.667,417378.667,9.280000e-02,1.043000e+00,1.123922e+01,21.015,69.800
1.00,1.002,-1.338002e-04,99,417381.333,417381.333,9.280000e-02,1.042000e+00,1.122845e+01,21.006,68.900
1.00,1.002,-1.338002e-04,100,417384.000,417384.000,9.270000e-02,1.043000e+00,1.125135e+01,21.024,69.800
1.00,1.002,-1.338002e-04,101,417386.667,417386.667,9.270000e-02,1.049000e+00,1.131607e+01,21.074,69.900
1.00,1.002,-1.338002e-04,102,417389.333,417389.333,9.290000e-02,1.036000e+00,1.115178e+01,20.947,69.600
1.00,1.002,-1.338002e-04,103,417392.000,417392.000,9.270000e-02,1.041000e+00,1.122977e+01,21.007,70.500
