# Sweep MEMS Completo a VDC=5.0V (128 Medie) - 20260908_130623
"# VDC_target=5.0 V, VDC_meas=5.004 V, IDC_meas=-0.13 mA, f_center=417520.0 Hz, pts=301"
step,frequency_Hz,freq_readback_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB,Phase_deg
1,417120.000,417120.000,9.290000e-02,1.051000e+00,1.131324e+01,21.072,69.400
2,417122.667,417122.667,9.280000e-02,1.054000e+00,1.135776e+01,21.106,69.200
3,417125.333,417125.333,9.270000e-02,1.047000e+00,1.129450e+01,21.057,69.000
4,417128.000,417128.000,9.300000e-02,1.052000e+00,1.131183e+01,21.071,69.700
5,417130.667,417130.667,9.290000e-02,1.052000e+00,1.132400e+01,21.080,69.000
6,417133.333,417133.333,9.280000e-02,1.049000e+00,1.130388e+01,21.065,69.700
7,417136.000,417136.000,9.290000e-02,1.053000e+00,1.133477e+01,21.088,70.100
8,417138.667,417138.667,9.270000e-02,1.055000e+00,1.138080e+01,21.123,69.900
9,417141.333,417141.333,9.310000e-02,1.053000e+00,1.131042e+01,21.070,69.800
10,417144.000,417144.000,9.260000e-02,1.050000e+00,1.133909e+01,21.092,69.200
11,417146.667,417146.667,9.270000e-02,1.057000e+00,1.140237e+01,21.140,70.100
12,417149.333,417149.333,9.280000e-02,1.049000e+00,1.130388e+01,21.065,70.400
13,417152.000,417152.000,9.280000e-02,1.049000e+00,1.130388e+01,21.065,69.900
14,417154.667,417154.667,9.310000e-02,1.050000e+00,1.127820e+01,21.045,69.300
15,417157.333,417157.333,9.310000e-02,1.054000e+00,1.132116e+01,21.078,68.900
16,417160.000,417160.000,9.270000e-02,1.052000e+00,1.134844e+01,21.099,69.300
17,417162.667,417162.667,9.270000e-02,1.051000e+00,1.133765e+01,21.090,69.900
18,417165.333,417165.333,9.270000e-02,1.052000e+00,1.134844e+01,21.099,68.900
19,417168.000,417168.000,9.290000e-02,1.058000e+00,1.138859e+01,21.129,69.500
20,417170.667,417170.667,9.350000e-02,1.049000e+00,1.121925e+01,20.999,69.200
21,417173.333,417173.333,9.320000e-02,1.051000e+00,1.127682e+01,21.044,69.100
22,417176.000,417176.000,9.280000e-02,1.053000e+00,1.134698e+01,21.098,69.300
23,417178.667,417178.667,9.290000e-02,1.058000e+00,1.138859e+01,21.129,68.900
24,417181.333,417181.333,9.290000e-02,1.048000e+00,1.128095e+01,21.047,69.700
25,417184.000,417184.000,9.310000e-02,1.057000e+00,1.135338e+01,21.103,69.600
26,417186.667,417186.667,9.290000e-02,1.056000e+00,1.136706e+01,21.113,69.700
27,417189.333,417189.333,9.290000e-02,1.054000e+00,1.134553e+01,21.096,69.900
28,417192.000,417192.000,9.280000e-02,1.059000e+00,1.141164e+01,21.147,70.100
29,417194.667,417194.667,9.270000e-02,1.055000e+00,1.138080e+01,21.123,69.800
30,417197.333,417197.333,9.290000e-02,1.052000e+00,1.132400e+01,21.080,68.900
31,417200.000,417200.000,9.350000e-02,1.051000e+00,1.124064e+01,21.016,69.300
32,417202.667,417202.667,9.330000e-02,1.047000e+00,1.122186e+01,21.001,69.100
33,417205.333,417205.333,9.310000e-02,1.053000e+00,1.131042e+01,21.070,69.800
34,417208.000,417208.000,9.320000e-02,1.049000e+00,1.125536e+01,21.027,70.200
35,417210.667,417210.667,9.280000e-02,1.051000e+00,1.132543e+01,21.081,69.800
36,417213.333,417213.333,9.310000e-02,1.058000e+00,1.136412e+01,21.111,69.100
37,417216.000,417216.000,9.280000e-02,1.053000e+00,1.134698e+01,21.098,69.200
38,417218.667,417218.667,9.300000e-02,1.055000e+00,1.134409e+01,21.095,69.700
39,417221.333,417221.333,9.280000e-02,1.047000e+00,1.128233e+01,21.048,69.500
40,417224.000,417224.000,9.280000e-02,1.050000e+00,1.131466e+01,21.073,70.100
41,417226.667,417226.667,9.290000e-02,1.050000e+00,1.130248e+01,21.063,69.300
42,417229.333,417229.333,9.250000e-02,1.057000e+00,1.142703e+01,21.159,69.500
43,417232.000,417232.000,9.310000e-02,1.055000e+00,1.133190e+01,21.086,69.900
44,417234.667,417234.667,9.290000e-02,1.061000e+00,1.142088e+01,21.154,69.600
45,417237.333,417237.333,9.260000e-02,1.058000e+00,1.142549e+01,21.157,70.000
46,417240.000,417240.000,9.260000e-02,1.057000e+00,1.141469e+01,21.149,69.000
47,417242.667,417242.667,9.280000e-02,1.053000e+00,1.134698e+01,21.098,69.500
48,417245.333,417245.333,9.300000e-02,1.061000e+00,1.140860e+01,21.145,69.400
49,417248.000,417248.000,9.300000e-02,1.054000e+00,1.133333e+01,21.087,69.000
50,417250.667,417250.667,9.290000e-02,1.049000e+00,1.129171e+01,21.055,69.100
51,417253.333,417253.333,9.280000e-02,1.046000e+00,1.127155e+01,21.040,69.400
52,417256.000,417256.000,9.290000e-02,1.054000e+00,1.134553e+01,21.096,70.000
