# Sweep MEMS Solo FASE a VDC=0.0V - 20260908_130623
frequency_Hz,Phase_deg
417120.000,70.100
417122.667,70.400
417125.333,69.700
417128.000,69.600
417130.667,69.600
417133.333,70.300
417136.000,68.500
417138.667,69.400
417141.333,68.800
417144.000,70.400
417146.667,70.000
417149.333,68.400
417152.000,68.500
417154.667,69.300
417157.333,69.200
417160.000,69.500
417162.667,69.600
417165.333,68.300
417168.000,68.900
417170.667,69.900
417173.333,68.700
417176.000,68.700
417178.667,69.100
417181.333,69.200
417184.000,69.200
417186.667,70.500
417189.333,69.900
417192.000,69.500
417194.667,69.500
417197.333,70.200
417200.000,68.600
417202.667,69.300
417205.333,69.300
417208.000,69.000
417210.667,70.600
417213.333,69.800
417216.000,70.200
417218.667,69.500
417221.333,69.800
417224.000,69.600
417226.667,69.000
417229.333,69.200
417232.000,69.500
417234.667,69.100
417237.333,69.300
417240.000,69.200
417242.667,69.300
417245.333,70.000
417248.000,69.200
417250.667,68.900
417253.333,70.100
417256.000,69.600
417258.667,69.500
417261.333,70.500
417264.000,69.100
417266.667,69.100
417269.333,69.200
417272.000,69.700
417274.667,70.000
417277.333,69.200
417280.000,70.200
417282.667,70.100
417285.333,69.300
417288.000,70.200
417290.667,69.300
417293.333,69.600
417296.000,68.600
417298.667,70.200
417301.333,70.100
417304.000,70.100
417306.667,70.100
417309.333,69.800
417312.000,69.800
417314.667,69.900
417317.333,68.700
417320.000,69.400
417322.667,69.000
417325.333,70.000
417328.000,69.200
417330.667,69.600
417333.333,69.100
417336.000,69.500
417338.667,69.800
417341.333,68.500
417344.000,69.300
417346.667,70.000
417349.333,69.300
417352.000,69.800
417354.667,70.400
417357.333,69.300
417360.000,69.000
417362.667,69.500
417365.333,68.900
417368.000,69.600
417370.667,69.900
417373.333,69.400
417376.000,69.000
417378.667,69.500
417381.333,70.000
417384.000,69.700
417386.667,68.600
417389.333,69.700
417392.000,70.200
417394.667,70.000
417397.333,69.500
417400.000,69.900
417402.667,67.800
417405.333,69.200
417408.000,69.400
417410.667,69.400
417413.333,69.700
417416.000,69.600
417418.667,68.900
417421.333,69.000
417424.000,69.600
417426.667,69.000
417429.333,70.300
417432.000,69.100
417434.667,69.500
417437.333,69.900
417440.000,70.100
417442.667,70.400
417445.333,69.300
417448.000,69.100
417450.667,69.100
417453.333,69.700
417456.000,70.300
417458.667,70.400
417461.333,69.400
417464.000,71.000
417466.667,69.800
417469.333,69.700
417472.000,69.500
417474.667,69.500
417477.333,69.000
417480.000,68.700
417482.667,68.600
417485.333,69.400
417488.000,69.300
417490.667,69.600
417493.333,70.100
417496.000,69.100
417498.667,69.900
417501.333,69.400
417504.000,69.900
417506.667,68.500
417509.333,70.100
417512.000,69.400
417514.667,68.600
417517.333,69.800
417520.000,69.300
417522.667,70.200
417525.333,69.000
417528.000,69.200
417530.667,70.000
417533.333,69.800
417536.000,69.800
417538.667,69.900
417541.333,69.300
417544.000,68.400
417546.667,69.500
417549.333,69.300
417552.000,68.800
417554.667,70.200
417557.333,69.000
417560.000,69.500
417562.667,70.100
417565.333,68.700
417568.000,69.200
417570.667,68.600
417573.333,68.600
417576.000,68.800
417578.667,68.900
417581.333,68.700
417584.000,70.300
417586.667,69.500
417589.333,69.400
417592.000,70.000
417594.667,70.400
417597.333,68.500
417600.000,69.100
417602.667,69.700
417605.333,69.100
417608.000,69.100
417610.667,69.800
417613.333,68.900
417616.000,68.300
417618.667,69.100
417621.333,68.400
417624.000,69.800
417626.667,70.100
417629.333,69.800
417632.000,70.000
417634.667,70.300
417637.333,70.200
417640.000,70.400
417642.667,69.900
417645.333,70.600
417648.000,70.700
417650.667,69.300
417653.333,68.200
417656.000,69.700
417658.667,69.900
417661.333,69.200
417664.000,68.400
417666.667,68.800
417669.333,70.100
417672.000,70.600
417674.667,69.600
417677.333,68.900
417680.000,69.800
417682.667,70.200
417685.333,68.800
417688.000,69.600
417690.667,69.200
417693.333,68.900
417696.000,69.300
417698.667,69.300
417701.333,69.500
417704.000,69.400
417706.667,69.700
417709.333,69.700
417712.000,70.100
417714.667,70.000
417717.333,70.100
417720.000,69.400
417722.667,68.900
417725.333,69.800
417728.000,70.800
417730.667,68.900
417733.333,69.500
417736.000,70.100
417738.667,69.200
417741.333,69.500
417744.000,69.900
417746.667,68.900
417749.333,69.800
417752.000,68.600
417754.667,69.600
417757.333,68.700
417760.000,70.000
417762.667,68.300
417765.333,69.300
417768.000,69.200
417770.667,70.100
417773.333,69.900
417776.000,69.100
417778.667,70.200
417781.333,70.100
417784.000,69.800
417786.667,69.400
417789.333,70.300
417792.000,69.500
417794.667,70.000
417797.333,69.300
417800.000,69.900
417802.667,70.600
417805.333,69.400
417808.000,70.200
417810.667,69.000
417813.333,69.100
417816.000,70.000
417818.667,68.700
417821.333,70.000
417824.000,70.400
417826.667,69.700
417829.333,68.700
417832.000,69.700
417834.667,68.800
417837.333,69.100
417840.000,69.300
417842.667,70.000
417845.333,71.000
417848.000,70.400
417850.667,69.800
417853.333,70.400
417856.000,69.300
417858.667,70.100
417861.333,69.700
417864.000,69.500
417866.667,70.200
417869.333,70.400
417872.000,70.000
417874.667,69.900
417877.333,69.000
417880.000,69.400
417882.667,70.000
417885.333,68.700
417888.000,70.100
417890.667,70.000
417893.333,70.700
417896.000,69.400
417898.667,70.200
417901.333,69.700
417904.000,69.800
417906.667,68.400
417909.333,70.200
417912.000,69.800
417914.667,69.200
417917.333,70.000
417920.000,69.500
