# Sweep MEMS Solo MODULO a VDC=0.0V - 20260908_130623
frequency_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB
417120.000,9.310000e-02,1.047000e+00,1.124597e+01,21.020
417122.667,9.290000e-02,1.041000e+00,1.120560e+01,20.989
417125.333,9.270000e-02,1.041000e+00,1.122977e+01,21.007
417128.000,9.290000e-02,1.040000e+00,1.119483e+01,20.980
417130.667,9.290000e-02,1.041000e+00,1.120560e+01,20.989
417133.333,9.280000e-02,1.042000e+00,1.122845e+01,21.006
417136.000,9.310000e-02,1.040000e+00,1.117078e+01,20.962
417138.667,9.290000e-02,1.043000e+00,1.122713e+01,21.005
417141.333,9.270000e-02,1.044000e+00,1.126214e+01,21.032
417144.000,9.290000e-02,1.045000e+00,1.124865e+01,21.022
417146.667,9.260000e-02,1.042000e+00,1.125270e+01,21.025
417149.333,9.290000e-02,1.037000e+00,1.116254e+01,20.955
417152.000,9.280000e-02,1.035000e+00,1.115302e+01,20.948
417154.667,9.260000e-02,1.027000e+00,1.109071e+01,20.899
417157.333,9.300000e-02,1.037000e+00,1.115054e+01,20.946
417160.000,9.290000e-02,1.042000e+00,1.121636e+01,20.997
417162.667,9.290000e-02,1.032000e+00,1.110872e+01,20.913
417165.333,9.280000e-02,1.035000e+00,1.115302e+01,20.948
417168.000,9.280000e-02,1.033000e+00,1.113147e+01,20.931
417170.667,9.290000e-02,1.033000e+00,1.111948e+01,20.922
417173.333,9.290000e-02,1.031000e+00,1.109795e+01,20.905
417176.000,9.270000e-02,1.035000e+00,1.116505e+01,20.957
417178.667,9.290000e-02,1.040000e+00,1.119483e+01,20.980
417181.333,9.280000e-02,1.032000e+00,1.112069e+01,20.923
417184.000,9.280000e-02,1.035000e+00,1.115302e+01,20.948
417186.667,9.290000e-02,1.047000e+00,1.127018e+01,21.039
417189.333,9.290000e-02,1.039000e+00,1.118407e+01,20.972
417192.000,9.280000e-02,1.047000e+00,1.128233e+01,21.048
417194.667,9.250000e-02,1.041000e+00,1.125405e+01,21.026
417197.333,9.250000e-02,1.038000e+00,1.122162e+01,21.001
417200.000,9.270000e-02,1.039000e+00,1.120820e+01,20.991
417202.667,9.290000e-02,1.044000e+00,1.123789e+01,21.014
417205.333,9.260000e-02,1.039000e+00,1.122030e+01,21.000
417208.000,9.270000e-02,1.035000e+00,1.116505e+01,20.957
417210.667,9.300000e-02,1.043000e+00,1.121505e+01,20.996
417213.333,9.280000e-02,1.040000e+00,1.120690e+01,20.990
417216.000,9.290000e-02,1.046000e+00,1.125942e+01,21.030
417218.667,9.310000e-02,1.043000e+00,1.120301e+01,20.987
417221.333,9.270000e-02,1.041000e+00,1.122977e+01,21.007
417224.000,9.280000e-02,1.045000e+00,1.126078e+01,21.031
417226.667,9.250000e-02,1.038000e+00,1.122162e+01,21.001
417229.333,9.300000e-02,1.041000e+00,1.119355e+01,20.979
417232.000,9.270000e-02,1.043000e+00,1.125135e+01,21.024
417234.667,9.270000e-02,1.046000e+00,1.128371e+01,21.049
417237.333,9.280000e-02,1.045000e+00,1.126078e+01,21.031
417240.000,9.270000e-02,1.046000e+00,1.128371e+01,21.049
417242.667,9.270000e-02,1.037000e+00,1.118662e+01,20.974
417245.333,9.300000e-02,1.035000e+00,1.112903e+01,20.929
417248.000,9.290000e-02,1.039000e+00,1.118407e+01,20.972
417250.667,9.270000e-02,1.040000e+00,1.121899e+01,20.999
