# Sweep MEMS Completo a VDC=2.0V (128 Medie) - 20260908_130623
"# VDC_target=2.0 V, VDC_meas=2.003 V, IDC_meas=-0.14 mA, f_center=417520.0 Hz, pts=301"
step,frequency_Hz,freq_readback_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB,Phase_deg
1,417120.000,417120.000,9.290000e-02,1.046000e+00,1.125942e+01,21.030,70.300
2,417122.667,417122.667,9.290000e-02,1.046000e+00,1.125942e+01,21.030,70.300
3,417125.333,417125.333,9.270000e-02,1.044000e+00,1.126214e+01,21.032,70.100
4,417128.000,417128.000,9.260000e-02,1.049000e+00,1.132829e+01,21.083,69.900
5,417130.667,417130.667,9.280000e-02,1.046000e+00,1.127155e+01,21.040,70.200
6,417133.333,417133.333,9.270000e-02,1.051000e+00,1.133765e+01,21.090,70.300
7,417136.000,417136.000,9.260000e-02,1.052000e+00,1.136069e+01,21.108,69.500
8,417138.667,417138.667,9.270000e-02,1.047000e+00,1.129450e+01,21.057,69.500
9,417141.333,417141.333,9.270000e-02,1.049000e+00,1.131607e+01,21.074,69.600
10,417144.000,417144.000,9.270000e-02,1.050000e+00,1.132686e+01,21.082,70.200
11,417146.667,417146.667,9.280000e-02,1.049000e+00,1.130388e+01,21.065,70.400
12,417149.333,417149.333,9.260000e-02,1.051000e+00,1.134989e+01,21.100,69.600
13,417152.000,417152.000,9.280000e-02,1.048000e+00,1.129310e+01,21.056,70.900
14,417154.667,417154.667,9.280000e-02,1.046000e+00,1.127155e+01,21.040,70.100
15,417157.333,417157.333,9.270000e-02,1.055000e+00,1.138080e+01,21.123,69.200
16,417160.000,417160.000,9.310000e-02,1.057000e+00,1.135338e+01,21.103,69.300
17,417162.667,417162.667,9.270000e-02,1.051000e+00,1.133765e+01,21.090,70.100
18,417165.333,417165.333,9.280000e-02,1.050000e+00,1.131466e+01,21.073,69.700
19,417168.000,417168.000,9.290000e-02,1.042000e+00,1.121636e+01,20.997,69.600
20,417170.667,417170.667,9.280000e-02,1.047000e+00,1.128233e+01,21.048,70.500
21,417173.333,417173.333,9.280000e-02,1.044000e+00,1.125000e+01,21.023,69.300
22,417176.000,417176.000,9.290000e-02,1.046000e+00,1.125942e+01,21.030,69.900
23,417178.667,417178.667,9.270000e-02,1.048000e+00,1.130529e+01,21.066,69.600
24,417181.333,417181.333,9.260000e-02,1.045000e+00,1.128510e+01,21.050,68.300
25,417184.000,417184.000,9.290000e-02,1.044000e+00,1.123789e+01,21.014,70.200
26,417186.667,417186.667,9.260000e-02,1.043000e+00,1.126350e+01,21.033,70.000
27,417189.333,417189.333,9.300000e-02,1.041000e+00,1.119355e+01,20.979,69.400
28,417192.000,417192.000,9.270000e-02,1.045000e+00,1.127292e+01,21.041,70.100
29,417194.667,417194.667,9.280000e-02,1.044000e+00,1.125000e+01,21.023,70.300
30,417197.333,417197.333,9.290000e-02,1.045000e+00,1.124865e+01,21.022,69.400
31,417200.000,417200.000,9.280000e-02,1.046000e+00,1.127155e+01,21.040,69.600
32,417202.667,417202.667,9.270000e-02,1.043000e+00,1.125135e+01,21.024,69.400
33,417205.333,417205.333,9.280000e-02,1.051000e+00,1.132543e+01,21.081,69.900
34,417208.000,417208.000,9.270000e-02,1.047000e+00,1.129450e+01,21.057,69.300
35,417210.667,417210.667,9.280000e-02,1.048000e+00,1.129310e+01,21.056,69.900
36,417213.333,417213.333,9.290000e-02,1.059000e+00,1.139935e+01,21.138,69.500
37,417216.000,417216.000,9.290000e-02,1.049000e+00,1.129171e+01,21.055,69.600
38,417218.667,417218.667,9.270000e-02,1.048000e+00,1.130529e+01,21.066,69.700
39,417221.333,417221.333,9.270000e-02,1.053000e+00,1.135922e+01,21.107,69.300
40,417224.000,417224.000,9.270000e-02,1.052000e+00,1.134844e+01,21.099,69.100
41,417226.667,417226.667,9.250000e-02,1.051000e+00,1.136216e+01,21.109,69.600
42,417229.333,417229.333,9.290000e-02,1.046000e+00,1.125942e+01,21.030,70.200
43,417232.000,417232.000,9.280000e-02,1.043000e+00,1.123922e+01,21.015,69.700
44,417234.667,417234.667,9.280000e-02,1.046000e+00,1.127155e+01,21.040,70.800
