# Sweep MEMS Completo a VDC=0.0V (128 Medie) - 20260908_130623
"# VDC_target=0.0 V, VDC_meas=0.003 V, IDC_meas=-0.12 mA, f_center=417520.0 Hz, pts=301"
step,frequency_Hz,freq_readback_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB,Phase_deg
1,417120.000,417120.000,9.310000e-02,1.047000e+00,1.124597e+01,21.020,70.100
2,417122.667,417122.667,9.290000e-02,1.041000e+00,1.120560e+01,20.989,70.400
3,417125.333,417125.333,9.270000e-02,1.041000e+00,1.122977e+01,21.007,69.700
4,417128.000,417128.000,9.290000e-02,1.040000e+00,1.119483e+01,20.980,69.600
5,417130.667,417130.667,9.290000e-02,1.041000e+00,1.120560e+01,20.989,69.600
6,417133.333,417133.333,9.280000e-02,1.042000e+00,1.122845e+01,21.006,70.300
7,417136.000,417136.000,9.310000e-02,1.040000e+00,1.117078e+01,20.962,68.500
8,417138.667,417138.667,9.290000e-02,1.043000e+00,1.122713e+01,21.005,69.400
9,417141.333,417141.333,9.270000e-02,1.044000e+00,1.126214e+01,21.032,68.800
10,417144.000,417144.000,9.290000e-02,1.045000e+00,1.124865e+01,21.022,70.400
11,417146.667,417146.667,9.260000e-02,1.042000e+00,1.125270e+01,21.025,70.000
12,417149.333,417149.333,9.290000e-02,1.037000e+00,1.116254e+01,20.955,68.400
13,417152.000,417152.000,9.280000e-02,1.035000e+00,1.115302e+01,20.948,68.500
14,417154.667,417154.667,9.260000e-02,1.027000e+00,1.109071e+01,20.899,69.300
15,417157.333,417157.333,9.300000e-02,1.037000e+00,1.115054e+01,20.946,69.200
16,417160.000,417160.000,9.290000e-02,1.042000e+00,1.121636e+01,20.997,69.500
17,417162.667,417162.667,9.290000e-02,1.032000e+00,1.110872e+01,20.913,69.600
18,417165.333,417165.333,9.280000e-02,1.035000e+00,1.115302e+01,20.948,68.300
19,417168.000,417168.000,9.280000e-02,1.033000e+00,1.113147e+01,20.931,68.900
20,417170.667,417170.667,9.290000e-02,1.033000e+00,1.111948e+01,20.922,69.900
21,417173.333,417173.333,9.290000e-02,1.031000e+00,1.109795e+01,20.905,68.700
22,417176.000,417176.000,9.270000e-02,1.035000e+00,1.116505e+01,20.957,68.700
23,417178.667,417178.667,9.290000e-02,1.040000e+00,1.119483e+01,20.980,69.100
24,417181.333,417181.333,9.280000e-02,1.032000e+00,1.112069e+01,20.923,69.200
25,417184.000,417184.000,9.280000e-02,1.035000e+00,1.115302e+01,20.948,69.200
26,417186.667,417186.667,9.290000e-02,1.047000e+00,1.127018e+01,21.039,70.500
27,417189.333,417189.333,9.290000e-02,1.039000e+00,1.118407e+01,20.972,69.900
28,417192.000,417192.000,9.280000e-02,1.047000e+00,1.128233e+01,21.048,69.500
29,417194.667,417194.667,9.250000e-02,1.041000e+00,1.125405e+01,21.026,69.500
30,417197.333,417197.333,9.250000e-02,1.038000e+00,1.122162e+01,21.001,70.200
31,417200.000,417200.000,9.270000e-02,1.039000e+00,1.120820e+01,20.991,68.600
32,417202.667,417202.667,9.290000e-02,1.044000e+00,1.123789e+01,21.014,69.300
33,417205.333,417205.333,9.260000e-02,1.039000e+00,1.122030e+01,21.000,69.300
34,417208.000,417208.000,9.270000e-02,1.035000e+00,1.116505e+01,20.957,69.000
35,417210.667,417210.667,9.300000e-02,1.043000e+00,1.121505e+01,20.996,70.600
36,417213.333,417213.333,9.280000e-02,1.040000e+00,1.120690e+01,20.990,69.800
37,417216.000,417216.000,9.290000e-02,1.046000e+00,1.125942e+01,21.030,70.200
38,417218.667,417218.667,9.310000e-02,1.043000e+00,1.120301e+01,20.987,69.500
39,417221.333,417221.333,9.270000e-02,1.041000e+00,1.122977e+01,21.007,69.800
40,417224.000,417224.000,9.280000e-02,1.045000e+00,1.126078e+01,21.031,69.600
41,417226.667,417226.667,9.250000e-02,1.038000e+00,1.122162e+01,21.001,69.000
42,417229.333,417229.333,9.300000e-02,1.041000e+00,1.119355e+01,20.979,69.200
43,417232.000,417232.000,9.270000e-02,1.043000e+00,1.125135e+01,21.024,69.500
44,417234.667,417234.667,9.270000e-02,1.046000e+00,1.128371e+01,21.049,69.100
45,417237.333,417237.333,9.280000e-02,1.045000e+00,1.126078e+01,21.031,69.300
46,417240.000,417240.000,9.270000e-02,1.046000e+00,1.128371e+01,21.049,69.200
