# Sweep MEMS Solo MODULO a VDC=2.0V - 20260908_130623
frequency_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB
417120.000,9.290000e-02,1.046000e+00,1.125942e+01,21.030
417122.667,9.290000e-02,1.046000e+00,1.125942e+01,21.030
417125.333,9.270000e-02,1.044000e+00,1.126214e+01,21.032
417128.000,9.260000e-02,1.049000e+00,1.132829e+01,21.083
417130.667,9.280000e-02,1.046000e+00,1.127155e+01,21.040
417133.333,9.270000e-02,1.051000e+00,1.133765e+01,21.090
417136.000,9.260000e-02,1.052000e+00,1.136069e+01,21.108
417138.667,9.270000e-02,1.047000e+00,1.129450e+01,21.057
417141.333,9.270000e-02,1.049000e+00,1.131607e+01,21.074
417144.000,9.270000e-02,1.050000e+00,1.132686e+01,21.082
417146.667,9.280000e-02,1.049000e+00,1.130388e+01,21.065
417149.333,9.260000e-02,1.051000e+00,1.134989e+01,21.100
417152.000,9.280000e-02,1.048000e+00,1.129310e+01,21.056
417154.667,9.280000e-02,1.046000e+00,1.127155e+01,21.040
417157.333,9.270000e-02,1.055000e+00,1.138080e+01,21.123
417160.000,9.310000e-02,1.057000e+00,1.135338e+01,21.103
417162.667,9.270000e-02,1.051000e+00,1.133765e+01,21.090
417165.333,9.280000e-02,1.050000e+00,1.131466e+01,21.073
417168.000,9.290000e-02,1.042000e+00,1.121636e+01,20.997
417170.667,9.280000e-02,1.047000e+00,1.128233e+01,21.048
417173.333,9.280000e-02,1.044000e+00,1.125000e+01,21.023
417176.000,9.290000e-02,1.046000e+00,1.125942e+01,21.030
417178.667,9.270000e-02,1.048000e+00,1.130529e+01,21.066
417181.333,9.260000e-02,1.045000e+00,1.128510e+01,21.050
417184.000,9.290000e-02,1.044000e+00,1.123789e+01,21.014
417186.667,9.260000e-02,1.043000e+00,1.126350e+01,21.033
417189.333,9.300000e-02,1.041000e+00,1.119355e+01,20.979
417192.000,9.270000e-02,1.045000e+00,1.127292e+01,21.041
417194.667,9.280000e-02,1.044000e+00,1.125000e+01,21.023
417197.333,9.290000e-02,1.045000e+00,1.124865e+01,21.022
417200.000,9.280000e-02,1.046000e+00,1.127155e+01,21.040
417202.667,9.270000e-02,1.043000e+00,1.125135e+01,21.024
417205.333,9.280000e-02,1.051000e+00,1.132543e+01,21.081
417208.000,9.270000e-02,1.047000e+00,1.129450e+01,21.057
417210.667,9.280000e-02,1.048000e+00,1.129310e+01,21.056
417213.333,9.290000e-02,1.059000e+00,1.139935e+01,21.138
417216.000,9.290000e-02,1.049000e+00,1.129171e+01,21.055
417218.667,9.270000e-02,1.048000e+00,1.130529e+01,21.066
417221.333,9.270000e-02,1.053000e+00,1.135922e+01,21.107
417224.000,9.270000e-02,1.052000e+00,1.134844e+01,21.099
417226.667,9.250000e-02,1.051000e+00,1.136216e+01,21.109
417229.333,9.290000e-02,1.046000e+00,1.125942e+01,21.030
417232.000,9.280000e-02,1.043000e+00,1.123922e+01,21.015
417234.667,9.280000e-02,1.046000e+00,1.127155e+01,21.040
417237.333,9.270000e-02,1.053000e+00,1.135922e+01,21.107
417240.000,9.270000e-02,1.050000e+00,1.132686e+01,21.082
417242.667,9.270000e-02,1.049000e+00,1.131607e+01,21.074
417245.333,9.270000e-02,1.048000e+00,1.130529e+01,21.066
417248.000,9.270000e-02,1.050000e+00,1.132686e+01,21.082
417250.667,9.290000e-02,1.045000e+00,1.124865e+01,21.022
417253.333,9.300000e-02,1.049000e+00,1.127957e+01,21.046
417256.000,9.270000e-02,1.051000e+00,1.133765e+01,21.090
417258.667,9.290000e-02,1.051000e+00,1.131324e+01,21.072
417261.333,9.250000e-02,1.049000e+00,1.134054e+01,21.093
417264.000,9.260000e-02,1.043000e+00,1.126350e+01,21.033
417266.667,9.280000e-02,1.049000e+00,1.130388e+01,21.065
417269.333,9.270000e-02,1.040000e+00,1.121899e+01,20.999
417272.000,9.280000e-02,1.047000e+00,1.128233e+01,21.048
417274.667,9.310000e-02,1.055000e+00,1.133190e+01,21.086
417277.333,9.290000e-02,1.058000e+00,1.138859e+01,21.129
417280.000,9.270000e-02,1.049000e+00,1.131607e+01,21.074
417282.667,9.280000e-02,1.041000e+00,1.121767e+01,20.998
417285.333,9.270000e-02,1.050000e+00,1.132686e+01,21.082
417288.000,9.310000e-02,1.051000e+00,1.128894e+01,21.053
417290.667,9.300000e-02,1.049000e+00,1.127957e+01,21.046
417293.333,9.290000e-02,1.051000e+00,1.131324e+01,21.072
417296.000,9.270000e-02,1.043000e+00,1.125135e+01,21.024
417298.667,9.270000e-02,1.049000e+00,1.131607e+01,21.074
417301.333,9.260000e-02,1.049000e+00,1.132829e+01,21.083
417304.000,9.260000e-02,1.049000e+00,1.132829e+01,21.083
417306.667,9.310000e-02,1.050000e+00,1.127820e+01,21.045
417309.333,9.300000e-02,1.051000e+00,1.130108e+01,21.062
417312.000,9.260000e-02,1.043000e+00,1.126350e+01,21.033
417314.667,9.270000e-02,1.053000e+00,1.135922e+01,21.107
417317.333,9.260000e-02,1.053000e+00,1.137149e+01,21.116
417320.000,9.260000e-02,1.049000e+00,1.132829e+01,21.083
417322.667,9.270000e-02,1.045000e+00,1.127292e+01,21.041
417325.333,9.260000e-02,1.044000e+00,1.127430e+01,21.042
417328.000,9.280000e-02,1.053000e+00,1.134698e+01,21.098
417330.667,9.270000e-02,1.046000e+00,1.128371e+01,21.049
417333.333,9.270000e-02,1.042000e+00,1.124056e+01,21.016
417336.000,9.270000e-02,1.047000e+00,1.129450e+01,21.057
417338.667,9.290000e-02,1.055000e+00,1.135630e+01,21.105
417341.333,9.270000e-02,1.046000e+00,1.128371e+01,21.049
417344.000,9.260000e-02,1.049000e+00,1.132829e+01,21.083
417346.667,9.290000e-02,1.046000e+00,1.125942e+01,21.030
417349.333,9.280000e-02,1.050000e+00,1.131466e+01,21.073
417352.000,9.280000e-02,1.043000e+00,1.123922e+01,21.015
417354.667,9.290000e-02,1.045000e+00,1.124865e+01,21.022
417357.333,9.270000e-02,1.047000e+00,1.129450e+01,21.057
417360.000,9.290000e-02,1.051000e+00,1.131324e+01,21.072
417362.667,9.290000e-02,1.044000e+00,1.123789e+01,21.014
417365.333,9.260000e-02,1.054000e+00,1.138229e+01,21.125
417368.000,9.290000e-02,1.051000e+00,1.131324e+01,21.072
417370.667,9.290000e-02,1.049000e+00,1.129171e+01,21.055
417373.333,9.310000e-02,1.048000e+00,1.125671e+01,21.028
417376.000,9.270000e-02,1.046000e+00,1.128371e+01,21.049
417378.667,9.290000e-02,1.049000e+00,1.129171e+01,21.055
417381.333,9.270000e-02,1.049000e+00,1.131607e+01,21.074
417384.000,9.280000e-02,1.049000e+00,1.130388e+01,21.065
417386.667,9.260000e-02,1.048000e+00,1.131749e+01,21.075
417389.333,9.280000e-02,1.042000e+00,1.122845e+01,21.006
417392.000,9.270000e-02,1.048000e+00,1.130529e+01,21.066
417394.667,9.300000e-02,1.046000e+00,1.124731e+01,21.021
417397.333,9.250000e-02,1.044000e+00,1.128649e+01,21.051
417400.000,9.280000e-02,1.046000e+00,1.127155e+01,21.040
417402.667,9.290000e-02,1.049000e+00,1.129171e+01,21.055
417405.333,9.290000e-02,1.051000e+00,1.131324e+01,21.072
417408.000,9.310000e-02,1.053000e+00,1.131042e+01,21.070
417410.667,9.270000e-02,1.050000e+00,1.132686e+01,21.082
417413.333,9.280000e-02,1.045000e+00,1.126078e+01,21.031
417416.000,9.270000e-02,1.049000e+00,1.131607e+01,21.074
417418.667,9.270000e-02,1.042000e+00,1.124056e+01,21.016
417421.333,9.270000e-02,1.049000e+00,1.131607e+01,21.074
417424.000,9.280000e-02,1.043000e+00,1.123922e+01,21.015
417426.667,9.260000e-02,1.052000e+00,1.136069e+01,21.108
417429.333,9.280000e-02,1.049000e+00,1.130388e+01,21.065
417432.000,9.290000e-02,1.049000e+00,1.129171e+01,21.055
417434.667,9.280000e-02,1.043000e+00,1.123922e+01,21.015
417437.333,9.290000e-02,1.048000e+00,1.128095e+01,21.047
417440.000,9.270000e-02,1.051000e+00,1.133765e+01,21.090
417442.667,9.280000e-02,1.051000e+00,1.132543e+01,21.081
417445.333,9.280000e-02,1.049000e+00,1.130388e+01,21.065
417448.000,9.280000e-02,1.045000e+00,1.126078e+01,21.031
417450.667,9.290000e-02,1.046000e+00,1.125942e+01,21.030
417453.333,9.280000e-02,1.050000e+00,1.131466e+01,21.073
417456.000,9.270000e-02,1.050000e+00,1.132686e+01,21.082
417458.667,9.290000e-02,1.052000e+00,1.132400e+01,21.080
417461.333,9.240000e-02,1.048000e+00,1.134199e+01,21.094
417464.000,9.290000e-02,1.047000e+00,1.127018e+01,21.039
417466.667,9.300000e-02,1.046000e+00,1.124731e+01,21.021
417469.333,9.250000e-02,1.049000e+00,1.134054e+01,21.093
417472.000,9.290000e-02,1.053000e+00,1.133477e+01,21.088
417474.667,9.280000e-02,1.051000e+00,1.132543e+01,21.081
417477.333,9.280000e-02,1.050000e+00,1.131466e+01,21.073
417480.000,9.270000e-02,1.049000e+00,1.131607e+01,21.074
417482.667,9.280000e-02,1.047000e+00,1.128233e+01,21.048
417485.333,9.250000e-02,1.047000e+00,1.131892e+01,21.076
417488.000,9.270000e-02,1.052000e+00,1.134844e+01,21.099
417490.667,9.250000e-02,1.045000e+00,1.129730e+01,21.059
417493.333,9.270000e-02,1.046000e+00,1.128371e+01,21.049
417496.000,9.270000e-02,1.052000e+00,1.134844e+01,21.099
417498.667,9.270000e-02,1.047000e+00,1.129450e+01,21.057
417501.333,9.270000e-02,1.046000e+00,1.128371e+01,21.049
417504.000,9.270000e-02,1.051000e+00,1.133765e+01,21.090
417506.667,9.280000e-02,1.045000e+00,1.126078e+01,21.031
417509.333,9.250000e-02,1.051000e+00,1.136216e+01,21.109
417512.000,9.280000e-02,1.050000e+00,1.131466e+01,21.073
417514.667,9.300000e-02,1.059000e+00,1.138710e+01,21.128
417517.333,9.280000e-02,1.049000e+00,1.130388e+01,21.065
