# Sweep MEMS Completo a VDC=3.0V (128 Medie) - 20260908_130623
"# VDC_target=3.0 V, VDC_meas=3.003 V, IDC_meas=-0.11 mA, f_center=417520.0 Hz, pts=301"
step,frequency_Hz,freq_readback_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB,Phase_deg
1,417120.000,417120.000,9.280000e-02,1.044000e+00,1.125000e+01,21.023,70.400
2,417122.667,417122.667,9.300000e-02,1.048000e+00,1.126882e+01,21.038,70.200
3,417125.333,417125.333,9.290000e-02,1.051000e+00,1.131324e+01,21.072,69.900
4,417128.000,417128.000,9.270000e-02,1.043000e+00,1.125135e+01,21.024,70.300
5,417130.667,417130.667,9.270000e-02,1.049000e+00,1.131607e+01,21.074,70.300
6,417133.333,417133.333,9.280000e-02,1.048000e+00,1.129310e+01,21.056,69.800
7,417136.000,417136.000,9.290000e-02,1.053000e+00,1.133477e+01,21.088,70.500
8,417138.667,417138.667,9.260000e-02,1.039000e+00,1.122030e+01,21.000,69.500
9,417141.333,417141.333,9.300000e-02,1.050000e+00,1.129032e+01,21.054,70.000
10,417144.000,417144.000,9.280000e-02,1.048000e+00,1.129310e+01,21.056,70.100
11,417146.667,417146.667,9.260000e-02,1.051000e+00,1.134989e+01,21.100,70.600
12,417149.333,417149.333,9.270000e-02,1.048000e+00,1.130529e+01,21.066,69.900
13,417152.000,417152.000,9.310000e-02,1.048000e+00,1.125671e+01,21.028,70.100
14,417154.667,417154.667,9.270000e-02,1.048000e+00,1.130529e+01,21.066,70.300
15,417157.333,417157.333,9.270000e-02,1.049000e+00,1.131607e+01,21.074,69.500
16,417160.000,417160.000,9.280000e-02,1.048000e+00,1.129310e+01,21.056,69.100
17,417162.667,417162.667,9.270000e-02,1.049000e+00,1.131607e+01,21.074,70.000
18,417165.333,417165.333,9.270000e-02,1.049000e+00,1.131607e+01,21.074,70.900
19,417168.000,417168.000,9.290000e-02,1.054000e+00,1.134553e+01,21.096,69.700
20,417170.667,417170.667,9.290000e-02,1.051000e+00,1.131324e+01,21.072,70.100
21,417173.333,417173.333,9.300000e-02,1.049000e+00,1.127957e+01,21.046,69.700
22,417176.000,417176.000,9.290000e-02,1.049000e+00,1.129171e+01,21.055,69.700
