# Sweep MEMS Completo a VDC=1.0V (128 Medie) - 20260908_130623
"# VDC_target=1.0 V, VDC_meas=1.002 V, IDC_meas=-0.13 mA, f_center=417520.0 Hz, pts=301"
step,frequency_Hz,freq_readback_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB,Phase_deg
1,417120.000,417120.000,9.290000e-02,1.035000e+00,1.114101e+01,20.938,68.500
2,417122.667,417122.667,9.290000e-02,1.039000e+00,1.118407e+01,20.972,68.500
3,417125.333,417125.333,9.310000e-02,1.041000e+00,1.118153e+01,20.970,68.800
4,417128.000,417128.000,9.300000e-02,1.043000e+00,1.121505e+01,20.996,69.000
5,417130.667,417130.667,9.290000e-02,1.037000e+00,1.116254e+01,20.955,68.500
6,417133.333,417133.333,9.280000e-02,1.042000e+00,1.122845e+01,21.006,69.000
7,417136.000,417136.000,9.290000e-02,1.044000e+00,1.123789e+01,21.014,69.200
8,417138.667,417138.667,9.270000e-02,1.037000e+00,1.118662e+01,20.974,68.800
9,417141.333,417141.333,9.300000e-02,1.042000e+00,1.120430e+01,20.988,69.500
10,417144.000,417144.000,9.300000e-02,1.044000e+00,1.122581e+01,21.004,68.500
11,417146.667,417146.667,9.290000e-02,1.046000e+00,1.125942e+01,21.030,69.300
12,417149.333,417149.333,9.290000e-02,1.043000e+00,1.122713e+01,21.005,69.600
13,417152.000,417152.000,9.290000e-02,1.038000e+00,1.117330e+01,20.964,69.200
14,417154.667,417154.667,9.270000e-02,1.038000e+00,1.119741e+01,20.982,69.000
15,417157.333,417157.333,9.270000e-02,1.039000e+00,1.120820e+01,20.991,69.400
16,417160.000,417160.000,9.290000e-02,1.038000e+00,1.117330e+01,20.964,69.000
17,417162.667,417162.667,9.250000e-02,1.037000e+00,1.121081e+01,20.993,70.200
18,417165.333,417165.333,9.270000e-02,1.039000e+00,1.120820e+01,20.991,68.700
19,417168.000,417168.000,9.270000e-02,1.046000e+00,1.128371e+01,21.049,69.000
20,417170.667,417170.667,9.270000e-02,1.042000e+00,1.124056e+01,21.016,68.600
21,417173.333,417173.333,9.250000e-02,1.039000e+00,1.123243e+01,21.009,69.300
22,417176.000,417176.000,9.260000e-02,1.041000e+00,1.124190e+01,21.017,70.100
23,417178.667,417178.667,9.260000e-02,1.043000e+00,1.126350e+01,21.033,69.300
24,417181.333,417181.333,9.260000e-02,1.036000e+00,1.118790e+01,20.975,69.100
25,417184.000,417184.000,9.280000e-02,1.043000e+00,1.123922e+01,21.015,67.500
26,417186.667,417186.667,9.260000e-02,1.046000e+00,1.129590e+01,21.058,69.500
27,417189.333,417189.333,9.270000e-02,1.035000e+00,1.116505e+01,20.957,68.200
28,417192.000,417192.000,9.270000e-02,1.047000e+00,1.129450e+01,21.057,69.100
29,417194.667,417194.667,9.260000e-02,1.041000e+00,1.124190e+01,21.017,70.200
30,417197.333,417197.333,9.260000e-02,1.042000e+00,1.125270e+01,21.025,68.900
31,417200.000,417200.000,9.290000e-02,1.044000e+00,1.123789e+01,21.014,68.400
32,417202.667,417202.667,9.270000e-02,1.045000e+00,1.127292e+01,21.041,68.800
33,417205.333,417205.333,9.300000e-02,1.044000e+00,1.122581e+01,21.004,69.400
34,417208.000,417208.000,9.280000e-02,1.046000e+00,1.127155e+01,21.040,68.500
35,417210.667,417210.667,9.260000e-02,1.044000e+00,1.127430e+01,21.042,69.700
36,417213.333,417213.333,9.290000e-02,1.049000e+00,1.129171e+01,21.055,69.300
37,417216.000,417216.000,9.270000e-02,1.041000e+00,1.122977e+01,21.007,68.800
38,417218.667,417218.667,9.250000e-02,1.039000e+00,1.123243e+01,21.009,69.900
39,417221.333,417221.333,9.250000e-02,1.044000e+00,1.128649e+01,21.051,69.300
40,417224.000,417224.000,9.270000e-02,1.040000e+00,1.121899e+01,20.999,69.200
41,417226.667,417226.667,9.270000e-02,1.046000e+00,1.128371e+01,21.049,69.000
42,417229.333,417229.333,9.280000e-02,1.044000e+00,1.125000e+01,21.023,69.100
43,417232.000,417232.000,9.280000e-02,1.051000e+00,1.132543e+01,21.081,70.100
44,417234.667,417234.667,9.280000e-02,1.055000e+00,1.136853e+01,21.114,69.500
45,417237.333,417237.333,9.260000e-02,1.049000e+00,1.132829e+01,21.083,68.500
46,417240.000,417240.000,9.280000e-02,1.048000e+00,1.129310e+01,21.056,68.900
47,417242.667,417242.667,9.290000e-02,1.042000e+00,1.121636e+01,20.997,68.200
48,417245.333,417245.333,9.280000e-02,1.039000e+00,1.119612e+01,20.981,68.600
49,417248.000,417248.000,9.290000e-02,1.041000e+00,1.120560e+01,20.989,69.200
50,417250.667,417250.667,9.260000e-02,1.036000e+00,1.118790e+01,20.975,69.300
51,417253.333,417253.333,9.300000e-02,1.045000e+00,1.123656e+01,21.013,68.600
52,417256.000,417256.000,9.290000e-02,1.048000e+00,1.128095e+01,21.047,68.700
53,417258.667,417258.667,9.280000e-02,1.047000e+00,1.128233e+01,21.048,68.500
54,417261.333,417261.333,9.260000e-02,1.036000e+00,1.118790e+01,20.975,69.500
55,417264.000,417264.000,9.290000e-02,1.044000e+00,1.123789e+01,21.014,68.100
56,417266.667,417266.667,9.280000e-02,1.040000e+00,1.120690e+01,20.990,68.800
57,417269.333,417269.333,9.290000e-02,1.041000e+00,1.120560e+01,20.989,69.300
58,417272.000,417272.000,9.290000e-02,1.037000e+00,1.116254e+01,20.955,69.600
59,417274.667,417274.667,9.300000e-02,1.039000e+00,1.117204e+01,20.963,69.300
60,417277.333,417277.333,9.290000e-02,1.043000e+00,1.122713e+01,21.005,68.500
61,417280.000,417280.000,9.290000e-02,1.040000e+00,1.119483e+01,20.980,69.900
62,417282.667,417282.667,9.290000e-02,1.041000e+00,1.120560e+01,20.989,68.900
63,417285.333,417285.333,9.270000e-02,1.042000e+00,1.124056e+01,21.016,69.200
64,417288.000,417288.000,9.270000e-02,1.041000e+00,1.122977e+01,21.007,68.800
65,417290.667,417290.667,9.290000e-02,1.037000e+00,1.116254e+01,20.955,69.800
66,417293.333,417293.333,9.300000e-02,1.039000e+00,1.117204e+01,20.963,68.900
67,417296.000,417296.000,9.260000e-02,1.045000e+00,1.128510e+01,21.050,69.600
68,417298.667,417298.667,9.290000e-02,1.041000e+00,1.120560e+01,20.989,69.300
69,417301.333,417301.333,9.260000e-02,1.050000e+00,1.133909e+01,21.092,69.000
70,417304.000,417304.000,9.280000e-02,1.046000e+00,1.127155e+01,21.040,70.100
71,417306.667,417306.667,9.290000e-02,1.037000e+00,1.116254e+01,20.955,69.400
72,417309.333,417309.333,9.290000e-02,1.046000e+00,1.125942e+01,21.030,69.600
