# Sweep MEMS Solo FASE a VDC=2.0V - 20260908_130623
frequency_Hz,Phase_deg
417120.000,70.300
417122.667,70.300
417125.333,70.100
417128.000,69.900
417130.667,70.200
417133.333,70.300
417136.000,69.500
417138.667,69.500
417141.333,69.600
417144.000,70.200
417146.667,70.400
417149.333,69.600
417152.000,70.900
417154.667,70.100
417157.333,69.200
417160.000,69.300
417162.667,70.100
417165.333,69.700
417168.000,69.600
417170.667,70.500
417173.333,69.300
417176.000,69.900
417178.667,69.600
417181.333,68.300
417184.000,70.200
417186.667,70.000
417189.333,69.400
417192.000,70.100
417194.667,70.300
417197.333,69.400
417200.000,69.600
417202.667,69.400
417205.333,69.900
417208.000,69.300
417210.667,69.900
417213.333,69.500
417216.000,69.600
417218.667,69.700
417221.333,69.300
417224.000,69.100
417226.667,69.600
417229.333,70.200
417232.000,69.700
417234.667,70.800
417237.333,69.700
417240.000,69.200
417242.667,70.200
417245.333,70.100
417248.000,69.500
417250.667,70.000
417253.333,69.700
417256.000,70.100
417258.667,68.800
417261.333,69.400
417264.000,71.000
417266.667,70.400
417269.333,70.600
417272.000,69.800
417274.667,70.100
417277.333,71.100
417280.000,68.600
417282.667,69.800
417285.333,69.600
417288.000,68.800
417290.667,70.500
417293.333,69.400
417296.000,70.000
417298.667,69.700
417301.333,70.100
417304.000,69.400
417306.667,69.500
417309.333,71.400
417312.000,70.000
417314.667,70.500
417317.333,69.100
417320.000,70.400
417322.667,69.700
417325.333,70.100
417328.000,70.900
417330.667,70.700
417333.333,70.400
417336.000,70.200
417338.667,70.500
417341.333,70.700
417344.000,69.900
417346.667,70.300
417349.333,70.900
417352.000,70.100
417354.667,69.800
417357.333,70.400
417360.000,69.500
417362.667,69.900
417365.333,70.300
417368.000,70.200
417370.667,70.900
417373.333,70.400
417376.000,69.500
417378.667,70.800
417381.333,69.100
417384.000,69.800
417386.667,71.100
417389.333,70.100
417392.000,70.700
417394.667,69.900
417397.333,70.500
417400.000,69.600
417402.667,69.700
417405.333,70.300
417408.000,69.300
417410.667,71.100
417413.333,69.700
417416.000,69.800
417418.667,70.400
417421.333,69.700
417424.000,71.100
417426.667,69.400
417429.333,70.300
417432.000,69.200
417434.667,70.700
417437.333,69.500
417440.000,70.200
417442.667,69.900
417445.333,70.100
417448.000,69.800
417450.667,69.900
417453.333,70.100
417456.000,70.800
417458.667,69.200
417461.333,69.700
417464.000,70.400
417466.667,70.900
417469.333,69.700
417472.000,68.600
417474.667,70.100
417477.333,70.400
417480.000,69.000
417482.667,70.700
417485.333,70.700
417488.000,70.000
417490.667,70.100
417493.333,70.300
417496.000,70.900
417498.667,69.200
417501.333,69.600
417504.000,69.800
417506.667,70.200
417509.333,69.300
417512.000,70.600
417514.667,70.400
417517.333,69.800
417520.000,69.200
417522.667,69.400
417525.333,69.500
417528.000,70.500
417530.667,70.800
417533.333,69.200
417536.000,70.100
417538.667,70.500
417541.333,70.100
417544.000,70.700
417546.667,70.900
417549.333,69.600
417552.000,71.000
417554.667,69.700
417557.333,70.300
417560.000,70.100
417562.667,70.700
417565.333,69.700
417568.000,70.800
417570.667,70.000
417573.333,70.500
417576.000,70.400
417578.667,69.900
417581.333,69.500
417584.000,69.600
417586.667,70.800
417589.333,69.500
417592.000,69.500
417594.667,69.200
417597.333,70.800
417600.000,70.200
417602.667,70.300
417605.333,70.600
417608.000,70.500
417610.667,69.600
417613.333,69.600
417616.000,70.200
417618.667,69.700
417621.333,70.100
417624.000,70.000
417626.667,70.300
417629.333,70.700
417632.000,69.100
417634.667,70.600
417637.333,69.700
417640.000,70.100
417642.667,69.400
417645.333,70.000
417648.000,69.600
417650.667,69.100
417653.333,69.800
417656.000,69.300
417658.667,70.000
417661.333,69.700
417664.000,69.700
417666.667,69.300
417669.333,70.600
417672.000,69.600
417674.667,69.900
417677.333,70.000
417680.000,68.700
417682.667,69.100
417685.333,70.400
417688.000,69.500
417690.667,69.100
417693.333,69.900
417696.000,69.800
417698.667,70.200
417701.333,70.500
417704.000,70.700
417706.667,69.900
417709.333,69.800
417712.000,69.400
417714.667,70.500
417717.333,68.900
417720.000,70.500
417722.667,70.100
417725.333,71.200
417728.000,70.000
417730.667,70.100
417733.333,70.000
417736.000,69.600
417738.667,71.000
417741.333,69.500
417744.000,69.900
417746.667,71.600
417749.333,70.300
417752.000,70.000
417754.667,70.900
417757.333,70.400
417760.000,70.000
417762.667,69.900
417765.333,69.800
417768.000,69.900
417770.667,70.800
417773.333,70.800
417776.000,71.100
417778.667,70.600
417781.333,70.900
417784.000,70.800
417786.667,69.800
417789.333,70.800
417792.000,70.900
417794.667,69.900
417797.333,70.900
417800.000,70.900
417802.667,70.400
417805.333,71.300
417808.000,70.700
417810.667,70.400
417813.333,70.500
417816.000,69.700
417818.667,70.600
417821.333,71.000
417824.000,70.500
417826.667,70.500
417829.333,70.500
417832.000,70.100
417834.667,70.200
417837.333,71.000
417840.000,70.500
417842.667,69.900
417845.333,70.400
417848.000,70.300
417850.667,71.800
417853.333,69.700
417856.000,69.700
417858.667,70.900
417861.333,70.200
417864.000,70.200
417866.667,70.200
417869.333,71.100
417872.000,70.500
417874.667,69.700
417877.333,70.100
417880.000,70.500
417882.667,70.400
417885.333,70.300
417888.000,71.100
417890.667,71.200
417893.333,70.700
417896.000,70.400
417898.667,70.900
417901.333,70.100
417904.000,69.900
417906.667,70.500
417909.333,71.000
417912.000,71.200
417914.667,70.500
417917.333,71.400
417920.000,71.600
