# Sweep MEMS Solo FASE a VDC=3.0V - 20260908_130623
frequency_Hz,Phase_deg
417120.000,70.400
417122.667,70.200
417125.333,69.900
417128.000,70.300
417130.667,70.300
417133.333,69.800
417136.000,70.500
417138.667,69.500
417141.333,70.000
417144.000,70.100
417146.667,70.600
417149.333,69.900
417152.000,70.100
417154.667,70.300
417157.333,69.500
417160.000,69.100
417162.667,70.000
417165.333,70.900
417168.000,69.700
417170.667,70.100
417173.333,69.700
417176.000,69.700
417178.667,69.500
417181.333,69.400
417184.000,70.600
417186.667,70.100
417189.333,70.200
417192.000,69.700
417194.667,69.700
417197.333,70.100
417200.000,69.400
417202.667,70.700
417205.333,69.900
417208.000,70.100
417210.667,69.800
417213.333,70.400
417216.000,70.200
417218.667,69.100
417221.333,69.700
417224.000,69.900
417226.667,70.800
417229.333,69.400
417232.000,70.000
417234.667,69.800
417237.333,69.400
417240.000,70.000
417242.667,69.200
417245.333,70.000
417248.000,69.800
417250.667,69.600
417253.333,68.900
417256.000,70.700
417258.667,70.800
417261.333,70.300
417264.000,68.700
417266.667,69.100
417269.333,69.400
417272.000,69.700
417274.667,69.500
417277.333,71.500
417280.000,69.900
417282.667,70.300
417285.333,70.600
417288.000,70.100
417290.667,69.200
417293.333,70.300
417296.000,69.900
417298.667,70.600
417301.333,70.800
417304.000,70.300
417306.667,69.100
417309.333,69.600
417312.000,69.600
417314.667,70.100
417317.333,69.400
417320.000,69.700
417322.667,71.100
417325.333,70.100
417328.000,69.800
417330.667,70.500
417333.333,69.300
417336.000,70.000
417338.667,70.900
417341.333,69.500
417344.000,70.100
417346.667,70.400
417349.333,69.800
417352.000,70.200
417354.667,70.200
417357.333,70.000
417360.000,69.900
417362.667,70.700
417365.333,70.100
417368.000,70.200
417370.667,70.400
417373.333,70.200
417376.000,69.700
417378.667,70.000
417381.333,70.100
417384.000,70.600
417386.667,69.700
417389.333,69.200
417392.000,70.600
417394.667,70.400
417397.333,70.000
417400.000,70.000
417402.667,69.800
417405.333,70.200
417408.000,69.900
417410.667,70.400
417413.333,70.300
417416.000,69.800
417418.667,69.600
417421.333,70.000
417424.000,69.700
417426.667,70.200
417429.333,70.000
417432.000,70.100
417434.667,70.100
417437.333,70.000
417440.000,70.500
417442.667,70.400
417445.333,69.600
417448.000,70.100
417450.667,70.900
417453.333,70.700
417456.000,69.200
417458.667,69.900
417461.333,70.300
417464.000,70.300
417466.667,70.200
417469.333,70.600
417472.000,70.100
417474.667,70.200
417477.333,69.200
417480.000,69.800
417482.667,70.200
417485.333,70.200
417488.000,69.800
417490.667,70.700
417493.333,70.500
417496.000,69.600
417498.667,69.600
417501.333,70.000
417504.000,69.500
417506.667,70.600
417509.333,71.000
417512.000,69.500
417514.667,69.100
417517.333,69.100
417520.000,71.100
417522.667,69.700
417525.333,69.500
417528.000,70.200
417530.667,69.900
417533.333,70.100
417536.000,70.100
417538.667,69.900
417541.333,70.200
417544.000,71.100
417546.667,69.400
417549.333,69.300
417552.000,70.000
417554.667,69.800
417557.333,69.500
417560.000,70.000
417562.667,69.500
417565.333,70.300
417568.000,69.400
417570.667,69.200
417573.333,69.700
417576.000,69.400
417578.667,70.600
417581.333,69.900
417584.000,70.200
417586.667,69.100
417589.333,69.900
417592.000,69.600
417594.667,69.700
417597.333,70.100
417600.000,69.800
417602.667,68.900
417605.333,69.500
417608.000,69.500
417610.667,70.300
417613.333,70.600
417616.000,70.400
417618.667,70.700
417621.333,69.500
417624.000,69.700
417626.667,70.100
417629.333,69.200
417632.000,70.000
417634.667,70.600
417637.333,69.300
417640.000,69.400
417642.667,69.400
417645.333,69.500
417648.000,70.500
417650.667,68.600
417653.333,69.700
417656.000,69.400
417658.667,69.400
417661.333,69.000
417664.000,69.200
417666.667,70.200
417669.333,69.100
417672.000,69.200
417674.667,70.200
417677.333,70.000
417680.000,70.000
417682.667,69.400
417685.333,69.700
417688.000,70.100
417690.667,69.500
417693.333,70.000
417696.000,70.000
417698.667,69.600
417701.333,69.600
417704.000,69.700
417706.667,69.000
417709.333,69.400
417712.000,69.800
417714.667,69.400
417717.333,70.400
417720.000,69.600
417722.667,69.400
417725.333,69.300
417728.000,70.500
417730.667,70.000
417733.333,69.600
417736.000,69.400
417738.667,69.500
417741.333,69.500
417744.000,69.600
417746.667,69.600
417749.333,69.600
417752.000,70.500
417754.667,70.800
417757.333,69.700
417760.000,69.700
417762.667,69.600
417765.333,70.800
417768.000,70.200
417770.667,70.100
417773.333,69.900
417776.000,70.900
417778.667,69.900
417781.333,70.400
417784.000,70.200
417786.667,70.500
417789.333,70.600
417792.000,71.900
417794.667,70.900
417797.333,70.600
417800.000,69.300
417802.667,69.500
417805.333,71.500
417808.000,71.800
417810.667,70.000
417813.333,69.600
417816.000,70.800
417818.667,69.900
417821.333,70.300
417824.000,69.700
417826.667,70.500
417829.333,70.500
417832.000,71.400
417834.667,70.900
417837.333,70.200
417840.000,70.000
417842.667,70.500
417845.333,71.300
417848.000,69.200
417850.667,70.700
417853.333,70.100
417856.000,70.400
417858.667,70.400
417861.333,69.600
417864.000,69.700
417866.667,70.100
417869.333,70.000
417872.000,71.600
417874.667,70.700
417877.333,70.300
417880.000,70.100
417882.667,71.000
417885.333,71.000
417888.000,71.100
417890.667,71.200
417893.333,70.800
417896.000,69.800
417898.667,71.300
417901.333,70.400
417904.000,70.100
417906.667,70.100
417909.333,70.500
417912.000,71.000
417914.667,71.200
417917.333,70.800
417920.000,70.900
