x-axis,1,2,3
second,Volt,Volt,Volt
+3.105000000E-03,+348.153105523E-03,-40.789886498E-03,-80.233981553E-03
+3.105005000E-03,+362.144939544E-03,-40.318780975E-03,-78.576318254E-03
+3.105010000E-03,+378.468745902E-03,-40.789886498E-03,-78.382850919E-03
+3.105015000E-03,+392.719687960E-03,-39.533605104E-03,-76.808730333E-03
+3.105020000E-03,+409.250780748E-03,-40.554333736E-03,-76.377825815E-03
+3.105025000E-03,+423.709009236E-03,-38.983981994E-03,-75.142273065E-03
+3.105030000E-03,+439.721885949E-03,-40.711368910E-03,-74.306845938E-03
+3.105035000E-03,+453.921006400E-03,-40.240263388E-03,-73.423051978E-03
+3.105040000E-03,+467.861018813E-03,-40.789886498E-03,-72.380966561E-03
+3.105045000E-03,+482.526533731E-03,-41.182474433E-03,-71.602700238E-03
+3.105050000E-03,+496.984762220E-03,-39.455087517E-03,-70.327574624E-03
+3.105055000E-03,+511.183882670E-03,-40.868404086E-03,-69.782348499E-03
+3.105060000E-03,+525.849397589E-03,-40.789886499E-03,-68.357725399E-03
+3.105065000E-03,+539.478480357E-03,-40.397298563E-03,-67.790514349E-03
+3.105070000E-03,+553.003919911E-03,-41.103956847E-03,-66.405464113E-03
+3.105075000E-03,+566.943932325E-03,-39.769157866E-03,-65.631594775E-03
+3.105080000E-03,+580.832123130E-03,-40.397298562E-03,-64.418026949E-03
+3.105085000E-03,+595.238530011E-03,-39.612122691E-03,-63.362750578E-03
+3.105090000E-03,+608.660326350E-03,-40.397298563E-03,-62.272298328E-03
+3.105095000E-03,+622.963090015E-03,-40.318780975E-03,-61.225815927E-03
+3.105100000E-03,+635.607562242E-03,-41.810615130E-03,-60.249685285E-03
+3.105105000E-03,+649.029358580E-03,-40.083228214E-03,-59.128454141E-03
+3.105110000E-03,+661.622009199E-03,-41.418027194E-03,-58.095162695E-03
+3.105115000E-03,+673.074584454E-03,-39.612122690E-03,-56.929961702E-03
+3.105120000E-03,+686.548202399E-03,-41.496544783E-03,-55.914258195E-03
+3.105125000E-03,+699.348139449E-03,-39.769157866E-03,-54.678705445E-03
+3.105130000E-03,+711.681682031E-03,-40.789886498E-03,-53.473931589E-03
+3.105135000E-03,+723.807938181E-03,-40.318780975E-03,-52.379082354E-03
+3.105140000E-03,+737.385199341E-03,-41.732097542E-03,-51.117147694E-03
+3.105145000E-03,+748.993239418E-03,-41.260992019E-03,-49.978328611E-03
+3.105150000E-03,+761.067673964E-03,-40.946921671E-03,-48.857097467E-03
+3.105155000E-03,+773.867611010E-03,-40.004710626E-03,-47.542398989E-03
+3.105160000E-03,+785.320186267E-03,-39.769157867E-03,-46.570665331E-03
+3.105165000E-03,+797.601907240E-03,-39.690640277E-03,-45.097675397E-03
+3.105170000E-03,+808.484444811E-03,-41.418027195E-03,-44.213881437E-03
+3.105175000E-03,+819.833376851E-03,-40.711368911E-03,-42.688127684E-03
+3.105180000E-03,+831.078665673E-03,-41.810615130E-03,-41.782348799E-03
+3.105185000E-03,+841.442987173E-03,-41.182474433E-03,-40.265389017E-03
+3.105190000E-03,+852.273703136E-03,-41.967650302E-03,-39.276067419E-03
+3.105195000E-03,+863.000775884E-03,-39.062499581E-03,-37.794283515E-03
+3.105200000E-03,+874.401529532E-03,-38.826946819E-03,-36.699434281E-03
+3.105205000E-03,+885.543175141E-03,-41.496544783E-03,-35.323178014E-03
+3.105210000E-03,+895.907496640E-03,-40.240263387E-03,-34.052449384E-03
+3.105215000E-03,+906.427282960E-03,-41.418027197E-03,-32.983982060E-03
+3.105220000E-03,+916.169745166E-03,-43.459484457E-03,-31.445037352E-03
+3.105225000E-03,+926.274958624E-03,-40.318780975E-03,-30.504082588E-03
+3.105230000E-03,+936.483815299E-03,-43.459484460E-03,-28.859610244E-03
+3.105235000E-03,+946.744493581E-03,-39.612122690E-03,-27.931846435E-03
+3.105240000E-03,+955.709631677E-03,-42.517273413E-03,-26.300565045E-03
+3.105245000E-03,+964.519304951E-03,-40.711368912E-03,-25.311243448E-03
+3.105250000E-03,+974.002659118E-03,-41.103956847E-03,-23.675565074E-03
+3.105255000E-03,+982.501402746E-03,-39.219534760E-03,-22.620288703E-03
+3.105260000E-03,+991.207432804E-03,-41.182474434E-03,-21.090137966E-03
+3.105265000E-03,+1.000224392504E+00,-42.124685480E-03,-19.942524912E-03
+3.105270000E-03,+1.008515849705E+00,-41.810615128E-03,-18.588253570E-03
+3.105275000E-03,+1.017014593331E+00,-41.418027195E-03,-17.124057606E-03
+3.105280000E-03,+1.024943299278E+00,-43.538002042E-03,-16.064384251E-03
+3.105285000E-03,+1.032457432362E+00,-39.455087518E-03,-14.485866679E-03
+3.105290000E-03,+1.039919743839E+00,-40.161745805E-03,-13.478957143E-03
+3.105295000E-03,+1.046863839245E+00,-42.438755827E-03,-11.904836556E-03
+3.105300000E-03,+1.053859756254E+00,-42.124685476E-03,-10.902324005E-03
+3.105305000E-03,+1.061995748629E+00,-40.475816150E-03,-9.266645630E-03
+3.105310000E-03,+1.068473449564E+00,-41.260992022E-03,-8.277324033E-03
+3.105315000E-03,+1.076194869080E+00,-40.946921672E-03,-6.654836613E-03
+3.105320000E-03,+1.083242607695E+00,-40.868404087E-03,-5.749057728E-03
+3.105325000E-03,+1.088372946840E+00,-40.397298563E-03,-4.078203474E-03
+3.105330000E-03,+1.096094366354E+00,-42.046167887E-03,-3.128454741E-03
+3.105335000E-03,+1.102312959253E+00,-39.062499586E-03,-1.470791442E-03
+3.105340000E-03,+1.106510509460E+00,-41.496544782E-03,-411.118087E-06
+3.105345000E-03,+1.113402783254E+00,-39.455087516E-03,+1.092650741E-03
+3.105350000E-03,+1.118688587215E+00,-37.727700607E-03,+2.284233643E-03
+3.105355000E-03,+1.124440785649E+00,+771.396033009E-03,+3.774811517E-03
+3.105360000E-03,+1.127239152452E+00,+2.552331944978E+00,+4.852072812E-03
+3.105365000E-03,+1.131177594624E+00,+2.552567497787E+00,+6.131595411E-03
+3.105370000E-03,+1.136670685016E+00,+2.552567497787E+00,+7.732097906E-03
+3.105375000E-03,+1.140712770398E+00,+2.552567497787E+00,+8.633479806E-03
+3.105380000E-03,+1.145635823111E+00,+2.552567497787E+00,+10.361494863E-03
+3.105385000E-03,+1.149574265280E+00,+2.552567497787E+00,+11.148555156E-03
