x-axis,1,2,3
second,Volt,Volt,Volt
+3.105000000E-03,+1.153046312984E+00,+2.552724532961E+00,+27.105213277E-03
+3.105005000E-03,+1.155533750143E+00,+2.552724532961E+00,+28.283605225E-03
+3.105010000E-03,+1.157399328012E+00,+2.552724532961E+00,+29.602700688E-03
+3.105015000E-03,+1.158539403377E+00,+2.552724532961E+00,+30.851444393E-03
+3.105020000E-03,+1.159109441060E+00,+2.552724532961E+00,+32.003454431E-03
+3.105025000E-03,+1.160145873209E+00,+2.552724532961E+00,+33.278580045E-03
+3.105030000E-03,+1.160353159639E+00,+2.552724532961E+00,+34.465765962E-03
+3.105035000E-03,+1.160560446069E+00,+2.552724532961E+00,+35.639760925E-03
+3.105040000E-03,+1.160508624462E+00,+2.552724532961E+00,+37.024811161E-03
+3.105045000E-03,+1.159938586780E+00,+2.552724532961E+00,+37.992147834E-03
+3.105050000E-03,+1.159886765173E+00,+2.552724532961E+00,+39.399182995E-03
+3.105055000E-03,+1.159575835527E+00,+2.552724532961E+00,+40.331343789E-03
+3.105060000E-03,+1.158591224985E+00,+2.552724532961E+00,+41.751569904E-03
+3.105065000E-03,+1.157969365696E+00,+2.552724532961E+00,+42.780464366E-03
+3.105070000E-03,+1.157502971228E+00,+2.552724532961E+00,+44.121544753E-03
+3.105075000E-03,+1.155585571751E+00,+2.552724532961E+00,+45.044911578E-03
+3.105080000E-03,+1.155481928535E+00,+2.552724532961E+00,+46.359610056E-03
+3.105085000E-03,+1.153098134592E+00,+2.552724532961E+00,+47.366519593E-03
+3.105090000E-03,+1.150247946180E+00,+2.552724532961E+00,+48.461368828E-03
+3.105095000E-03,+1.148486011525E+00,+2.552724532961E+00,+49.732097457E-03
+3.105100000E-03,+1.147656865805E+00,+2.552724532961E+00,+50.607097448E-03
+3.105105000E-03,+1.145065785431E+00,+2.552724532961E+00,+51.978956729E-03
+3.105110000E-03,+1.142578348272E+00,+2.552724532961E+00,+52.801192902E-03
+3.105115000E-03,+1.138588084496E+00,+2.552724532961E+00,+54.036745652E-03
+3.105120000E-03,+1.136204290553E+00,+2.552724532961E+00,+54.986494386E-03
+3.105125000E-03,+1.132576778029E+00,+2.552724532961E+00,+56.037373771E-03
+3.105130000E-03,+1.129104730326E+00,+2.552724532961E+00,+57.075062203E-03
+3.105135000E-03,+1.125788147448E+00,+2.552724532961E+00,+58.059986815E-03
+3.105140000E-03,+1.121901526887E+00,+2.552724532961E+00,+59.207599868E-03
+3.105145000E-03,+1.118584944007E+00,+2.552724532961E+00,+59.959484282E-03
