x-axis,1,2,3
second,Volt,Volt,Volt
+3.105000000E-03,+1.032146502720E+00,-42.203203065E-03,-11.544283796E-03
+3.105005000E-03,+1.040697067956E+00,-42.909861350E-03,-10.119660696E-03
+3.105010000E-03,+1.047382055321E+00,-41.732097543E-03,-8.967650658E-03
+3.105015000E-03,+1.054637080369E+00,-41.653579956E-03,-7.551821527E-03
+3.105020000E-03,+1.060700208444E+00,-42.124685478E-03,-6.250314003E-03
+3.105025000E-03,+1.068680735997E+00,-42.360238239E-03,-4.900439646E-03
+3.105030000E-03,+1.074536577643E+00,-40.711368911E-03,-3.730841669E-03
+3.105035000E-03,+1.081428851438E+00,-41.103956846E-03,-2.218278871E-03
+3.105040000E-03,+1.087751087552E+00,-40.632851324E-03,-1.220163304E-03
+3.105045000E-03,+1.094695182955E+00,-40.946921673E-03,+314.384418E-06
+3.105050000E-03,+1.098840911554E+00,-39.141017169E-03,+1.299309031E-03
+3.105055000E-03,+1.107598763218E+00,-20.453831452E-03,+3.185615544E-03
+3.105060000E-03,+1.111433562172E+00,+2.114439361422E+00,+4.043027595E-03
+3.105065000E-03,+1.116045685239E+00,+2.552253427439E+00,+5.731469788E-03
+3.105070000E-03,+1.119258624903E+00,+2.552253427439E+00,+6.566896914E-03
+3.105075000E-03,+1.123974391184E+00,+2.552253427439E+00,+8.259736092E-03
+3.105080000E-03,+1.128690157465E+00,+2.552253427439E+00,+9.205087841E-03
+3.105085000E-03,+1.132680421242E+00,+2.552253427439E+00,+10.788002397E-03
+3.105090000E-03,+1.136463398588E+00,+2.552253427439E+00,+11.874057661E-03
+3.105095000E-03,+1.140350019149E+00,+2.552253427439E+00,+13.421796338E-03
+3.105100000E-03,+1.145221250253E+00,+2.552253427439E+00,+14.441896830E-03
+3.105105000E-03,+1.148796941170E+00,+2.552253427439E+00,+16.068781235E-03
+3.105110000E-03,+1.152061702440E+00,+2.552253427439E+00,+17.053705847E-03
+3.105115000E-03,+1.155119177284E+00,+2.552253427439E+00,+18.658605327E-03
+3.105120000E-03,+1.158124830517E+00,+2.552253427439E+00,+19.559987227E-03
+3.105125000E-03,+1.160197694817E+00,+2.552253427439E+00,+21.222047511E-03
+3.105130000E-03,+1.163669742517E+00,+2.552253427439E+00,+22.066268608E-03
+3.105135000E-03,+1.165224390742E+00,+2.552646015374E+00,+23.732725876E-03
+3.105140000E-03,+1.167141790219E+00,+2.552724532961E+00,+24.563756018E-03
+3.105145000E-03,+1.169732870594E+00,+2.552724532961E+00,+26.322549969E-03
+3.105150000E-03,+1.170976589174E+00,+2.552724532961E+00,+27.140389156E-03
+3.105155000E-03,+1.172323950968E+00,+2.552724532961E+00,+28.899183107E-03
+3.105160000E-03,+1.173567669547E+00,+2.552724532961E+00,+29.747801189E-03
+3.105165000E-03,+1.174811388128E+00,+2.552724532961E+00,+31.352700669E-03
+3.105170000E-03,+1.175795998670E+00,+2.552724532961E+00,+32.152951917E-03
+3.105175000E-03,+1.175433247418E+00,+2.552724532961E+00,+33.687499639E-03
+3.105180000E-03,+1.176521501174E+00,+2.552724532961E+00,+34.566896614E-03
+3.105185000E-03,+1.176936074035E+00,+2.552724532961E+00,+36.145414185E-03
+3.105190000E-03,+1.175899641884E+00,+2.552724532961E+00,+37.024811161E-03
+3.105195000E-03,+1.176780609213E+00,+2.552724532961E+00,+38.550564913E-03
+3.105200000E-03,+1.176521501174E+00,+2.552724532961E+00,+39.438755859E-03
