x-axis,1,2,3
second,Volt,Volt,Volt
+3.105000000E-03,+1.115942042024E+00,+2.551939357090E+00,+7.833228559E-03
+3.105005000E-03,+1.119569554548E+00,+2.551939357090E+00,+9.424937085E-03
+3.105010000E-03,+1.122419742960E+00,+2.551939357090E+00,+10.352700894E-03
+3.105015000E-03,+1.127187330849E+00,+2.551939357090E+00,+12.019158163E-03
+3.105020000E-03,+1.130141162475E+00,+2.551939357090E+00,+12.885364184E-03
+3.105025000E-03,+1.134545999111E+00,+2.551939357090E+00,+14.591394316E-03
+3.105030000E-03,+1.137966225206E+00,+2.551939357090E+00,+15.536746065E-03
+3.105035000E-03,+1.141334629692E+00,+2.551939357090E+00,+17.172424439E-03
+3.105040000E-03,+1.144806677393E+00,+2.551939357090E+00,+18.179333976E-03
+3.105045000E-03,+1.147345936161E+00,+2.551939357090E+00,+19.643529940E-03
+3.105050000E-03,+1.151336199936E+00,+2.551939357090E+00,+20.896670630E-03
+3.105055000E-03,+1.153771815488E+00,+2.551939357090E+00,+22.088253532E-03
+3.105060000E-03,+1.156051966218E+00,+2.552646015374E+00,+23.490891708E-03
+3.105065000E-03,+1.158746689807E+00,+2.552724532961E+00,+24.590137927E-03
+3.105070000E-03,+1.159938586779E+00,+2.552724532961E+00,+26.036745952E-03
+3.105075000E-03,+1.161700521434E+00,+2.552724532961E+00,+27.157977096E-03
+3.105080000E-03,+1.163358812873E+00,+2.552724532961E+00,+28.551821302E-03
+3.105085000E-03,+1.165742606817E+00,+2.552724532961E+00,+29.778580083E-03
+3.105090000E-03,+1.165690785209E+00,+2.552724532961E+00,+30.855841378E-03
+3.105095000E-03,+1.167763649510E+00,+2.552724532961E+00,+32.298052418E-03
+3.105100000E-03,+1.167763649509E+00,+2.552724532961E+00,+33.177449393E-03
+3.105105000E-03,+1.168592795229E+00,+2.552724532961E+00,+34.857097616E-03
+3.105110000E-03,+1.168230043976E+00,+2.552724532961E+00,+35.586997106E-03
+3.105115000E-03,+1.168385508799E+00,+2.552724532961E+00,+37.288630253E-03
+3.105120000E-03,+1.168696438444E+00,+2.552724532961E+00,+38.009735774E-03
+3.105125000E-03,+1.168074579154E+00,+2.552724532961E+00,+39.698177966E-03
+3.105130000E-03,+1.166986325398E+00,+2.552724532961E+00,+40.480841275E-03
+3.105135000E-03,+1.166779038968E+00,+2.552724532961E+00,+42.019785982E-03
+3.105140000E-03,+1.166416287715E+00,+2.552724532961E+00,+42.846419139E-03
+3.105145000E-03,+1.164550709845E+00,+2.552724532961E+00,+44.169911587E-03
+3.105150000E-03,+1.163980672163E+00,+2.552724532961E+00,+45.335112580E-03
+3.105155000E-03,+1.161648699827E+00,+2.552724532961E+00,+46.447549753E-03
+3.105160000E-03,+1.159886765172E+00,+2.552724532961E+00,+47.568780897E-03
+3.105165000E-03,+1.158591224985E+00,+2.552724532961E+00,+48.738378875E-03
+3.105170000E-03,+1.156051966219E+00,+2.552724532961E+00,+49.732097457E-03
+3.105175000E-03,+1.153771815489E+00,+2.552724532961E+00,+51.033604981E-03
+3.105180000E-03,+1.150817983863E+00,+2.552724532961E+00,+51.798680349E-03
+3.105185000E-03,+1.149004227602E+00,+2.552724532961E+00,+53.236494404E-03
+3.105190000E-03,+1.145273071862E+00,+2.552724532961E+00,+53.953202940E-03
+3.105195000E-03,+1.142163775413E+00,+2.552724532961E+00,+55.421795888E-03
+3.105200000E-03,+1.139054478965E+00,+2.552724532961E+00,+56.002197892E-03
+3.105205000E-03,+1.135271501618E+00,+2.552724532961E+00,+57.466393856E-03
+3.105210000E-03,+1.131281237841E+00,+2.552724532961E+00,+58.033604906E-03
+3.105215000E-03,+1.128068298178E+00,+2.552724532961E+00,+59.405464187E-03
+3.105220000E-03,+1.124699893690E+00,+2.552724532961E+00,+60.130966692E-03
+3.105225000E-03,+1.120295057055E+00,+2.552724532961E+00,+61.282976730E-03
+3.105230000E-03,+1.115112896306E+00,+2.552724532961E+00,+62.188755615E-03
+3.105235000E-03,+1.110397130026E+00,+2.552724532961E+00,+63.151695303E-03
+3.105240000E-03,+1.106251401428E+00,+2.552724532961E+00,+64.233353583E-03
+3.105245000E-03,+1.100136451743E+00,+2.552724532961E+00,+65.134735483E-03
+3.105250000E-03,+1.094954290996E+00,+2.552724532961E+00,+66.124057080E-03
+3.105255000E-03,+1.089616665424E+00,+2.552724532961E+00,+67.051820890E-03
+3.105260000E-03,+1.083553537349E+00,+2.552724532961E+00,+67.957599774E-03
+3.105265000E-03,+1.077594052489E+00,+2.552724532961E+00,+68.999685191E-03
+3.105270000E-03,+1.071945497272E+00,+2.552724532961E+00,+69.610866088E-03
+3.105275000E-03,+1.066089655626E+00,+2.552724532961E+00,+70.776067081E-03
+3.105280000E-03,+1.059767419512E+00,+2.552724532961E+00,+71.250941447E-03
+3.105285000E-03,+1.052926967326E+00,+2.552724532961E+00,+72.556845956E-03
+3.105290000E-03,+1.045931050317E+00,+2.552724532961E+00,+72.970162534E-03
+3.105295000E-03,+1.038468738838E+00,+2.552724532961E+00,+74.196921316E-03
+3.105300000E-03,+1.031524643436E+00,+2.552724532961E+00,+74.636619803E-03
+3.105305000E-03,+1.023803223920E+00,+2.552724532961E+00,+75.762247932E-03
+3.105310000E-03,+1.014993550649E+00,+2.552724532961E+00,+76.347046921E-03
