"# Sweep Burst Phase - Misura Vmax, Vmin e Picco CH1 - 20260923_131303"
"# Range: -180.0° a 180.0°, passo: 2.0°, medie: 64"
step,phase_deg,Vmax_mV,Vmin_mV,A_peak_mV,Vpp_mV
122,+62.00,766.000,-270.000,766.000,1037.000
123,+64.00,766.000,-250.000,766.000,1016.000
124,+66.00,770.000,-221.000,770.000,992.000
125,+68.00,763.000,-192.000,763.000,954.000
126,+70.00,770.000,-170.000,770.000,940.000
127,+72.00,770.000,-177.000,770.000,947.000
128,+74.00,763.000,-172.000,763.000,935.000
129,+76.00,763.000,-177.000,763.000,940.000
130,+78.00,765.000,-170.000,765.000,935.000
131,+80.00,759.000,-172.000,759.000,932.000
132,+82.00,762.000,-174.000,762.000,935.000
133,+84.00,760.000,-173.000,760.000,933.000
134,+86.00,757.000,-174.000,757.000,931.000
135,+88.00,759.000,-175.000,759.000,935.000
136,+90.00,757.000,-170.000,757.000,927.000
137,+92.00,759.000,-177.000,759.000,936.000
138,+94.00,754.000,-173.000,754.000,927.000
139,+96.00,757.000,-176.000,757.000,933.000
140,+98.00,758.000,-177.000,758.000,935.000
141,+100.00,763.000,-177.000,763.000,940.000
142,+102.00,769.000,-173.000,769.000,942.000
143,+104.00,783.000,-178.000,783.000,961.000
144,+106.00,789.000,-178.000,789.000,967.000
145,+108.00,801.000,-177.000,801.000,978.000
146,+110.00,812.000,-174.000,812.000,986.000
147,+112.00,826.000,-178.000,826.000,1004.000
148,+114.00,840.000,-183.000,840.000,1023.000
149,+116.00,859.000,-183.000,859.000,1042.000
150,+118.00,875.000,-189.000,875.000,1065.000
151,+120.00,884.000,-196.000,884.000,1080.000
152,+122.00,907.000,-200.000,907.000,1108.000
153,+124.00,919.000,-206.000,919.000,1125.000
154,+126.00,936.000,-210.000,936.000,1146.000
155,+128.00,946.000,-217.000,946.000,1163.000
156,+130.00,953.000,-223.000,953.000,1175.000
157,+132.00,966.000,-228.000,966.000,1194.000
158,+134.00,983.000,-238.000,983.000,1221.000
159,+136.00,1000.000,-248.000,1000.000,1249.000
160,+138.00,1007.000,-259.000,1007.000,1266.000
161,+140.00,1014.000,-265.000,1014.000,1279.000
162,+142.00,1023.000,-278.000,1023.000,1301.000
163,+144.00,1032.000,-286.000,1032.000,1318.000
164,+146.00,1035.000,-301.000,1035.000,1337.000
165,+148.00,1049.000,-315.000,1049.000,1364.000
166,+150.00,1044.000,-329.000,1044.000,1373.000
167,+152.00,1052.000,-343.000,1052.000,1396.000
168,+154.00,1055.000,-352.000,1055.000,1407.000
169,+156.00,1048.000,-368.000,1048.000,1416.000
170,+158.00,1048.000,-386.000,1048.000,1435.000
171,+160.00,1047.000,-399.000,1047.000,1446.000
172,+162.00,1047.000,-414.000,1047.000,1460.000
173,+164.00,1048.000,-428.000,1048.000,1477.000
174,+166.00,1046.000,-442.000,1046.000,1488.000
175,+168.00,1044.000,-459.000,1044.000,1503.000
176,+170.00,1029.000,-472.000,1029.000,1501.000
177,+172.00,1020.000,-488.000,1020.000,1508.000
178,+174.00,1014.000,-503.000,1014.000,1517.000
179,+176.00,1000.000,-516.000,1000.000,1516.000
180,+178.00,990.000,-534.000,990.000,1524.000
181,+180.00,984.000,-550.000,984.000,1534.000
