x-axis,1,3,4
second,Volt,Volt,Volt
-258.0000E-06,+4.7025753E-03,-82.2160010E-03,+312.2509389E-03
-257.8750E-06,-2.2151382E-03,-97.4537521E-03,+374.2038277E-03
-257.7500E-06,-9.0593592E-03,-102.3402156E-03,+394.0957872E-03
-257.6250E-06,-15.8696606E-03,-96.8344054E-03,+371.6900086E-03
-257.5000E-06,-21.8979269E-03,-81.0866040E-03,+307.1868686E-03
-257.3750E-06,-26.0229269E-03,-57.5423204E-03,+211.0423972E-03
-257.2500E-06,-27.8602384E-03,-28.0687026E-03,+91.5084789E-03
-257.1250E-06,-27.0442836E-03,+3.8777481E-03,-37.3520725E-03
-257.0000E-06,-22.9777008E-03,+35.0682314E-03,-163.9720460E-03
-256.8750E-06,-16.8834797E-03,+62.9115100E-03,-276.7295825E-03
-256.7500E-06,-8.8181532E-03,+82.8080236E-03,-357.7911394E-03
-256.6250E-06,+1.8740578E-03,+93.4826466E-03,-400.9450334E-03
-256.5000E-06,+13.1033290E-03,+93.9107245E-03,-402.3112394E-03
-256.3750E-06,+22.0430274E-03,+84.0285010E-03,-362.1447826E-03
-256.2500E-06,+27.1535801E-03,+64.7376720E-03,-283.7609894E-03
-256.1250E-06,+28.0920223E-03,+38.3562339E-03,-176.8508147E-03
-256.0000E-06,+25.8420223E-03,+7.4389918E-03,-51.2691577E-03
-255.8750E-06,+20.3847360E-03,-25.5366674E-03,+81.9632529E-03
-255.7500E-06,+14.5486807E-03,-55.3427287E-03,+202.8269451E-03
-255.6250E-06,+5.6447864E-03,-79.4835890E-03,+300.9934013E-03
-255.5000E-06,-1.4613693E-03,-96.0055737E-03,+368.2836016E-03
-255.3750E-06,-7.9569723E-03,-102.2855674E-03,+393.8589782E-03
-255.2500E-06,-14.8106154E-03,-98.1687332E-03,+377.1184005E-03
-255.1250E-06,-20.9745601E-03,-84.3700525E-03,+320.6667679E-03
-255.0000E-06,-25.6818465E-03,-61.9961520E-03,+229.1127488E-03
-254.8750E-06,-27.9751881E-03,-32.3403734E-03,+108.7591069E-03
-254.7500E-06,-26.8200374E-03,-521.4353E-06,-19.5185299E-03
-254.6250E-06,-23.7145098E-03,+30.9422892E-03,-147.3589808E-03
-254.5000E-06,-17.2528264E-03,+59.5916294E-03,-263.2132510E-03
-254.3750E-06,-10.1033290E-03,+80.5993239E-03,-348.7741797E-03
-254.2500E-06,+634.1080E-06,+92.6037207E-03,-397.3564656E-03
-254.1250E-06,+11.7672737E-03,+94.6757999E-03,-405.4444052E-03
-254.0000E-06,+20.5128767E-03,+86.3464972E-03,-371.5442799E-03
-253.8750E-06,+26.4130022E-03,+67.8617298E-03,-296.4758134E-03
-253.7500E-06,+28.3803389E-03,+42.3318934E-03,-192.8809653E-03
-253.6250E-06,+26.5166454E-03,+11.8017430E-03,-69.0480520E-03
-253.5000E-06,+21.0668968E-03,-21.1875783E-03,+64.4575998E-03
-253.3750E-06,+15.4758164E-03,-51.5310139E-03,+187.3797090E-03
-253.2500E-06,+6.8470477E-03,-76.5872322E-03,+289.2075974E-03
-253.1250E-06,+140.3894E-06,-94.0200210E-03,+360.2320941E-03
-253.0000E-06,-6.7603642E-03,-101.8893676E-03,+392.2923953E-03
-252.8750E-06,-14.2339823E-03,-99.3300084E-03,+381.7999331E-03
-252.7500E-06,-20.4770726E-03,-86.8337773E-03,+330.6856120E-03
-252.6250E-06,-25.0430274E-03,-65.4981934E-03,+243.3577235E-03
-252.5000E-06,-27.6812183E-03,-36.5482879E-03,+125.8457901E-03
-252.3750E-06,-26.6711681E-03,-4.9160646E-03,-1.6849874E-03
-252.2500E-06,-24.8866203E-03,+26.7571448E-03,-130.3815941E-03
-252.1250E-06,-18.5059671E-03,+55.3290666E-03,-245.9990552E-03
-252.0000E-06,-12.4098617E-03,+77.5709006E-03,-336.4601095E-03
-251.8750E-06,-1.0373744E-03,+91.5153099E-03,-392.9663903E-03
-251.7500E-06,+10.4971733E-03,+95.0082433E-03,-406.8652595E-03
-251.6250E-06,+19.6554646E-03,+88.0451467E-03,-378.4663904E-03
-251.5000E-06,+25.6027007E-03,+70.8400589E-03,-308.5712907E-03
-251.3750E-06,+28.0731781E-03,+46.1800403E-03,-208.5650103E-03
-251.2500E-06,+26.5317208E-03,+16.1371701E-03,-86.6994337E-03
-251.1250E-06,+22.7741832E-03,-15.7956185E-03,+42.7622483E-03
-251.0000E-06,+16.2352385E-03,-46.6718745E-03,+167.4877495E-03
-250.8750E-06,+7.9456657E-03,-73.5360388E-03,+276.8753111E-03
-250.7500E-06,+994.0327E-06,-92.1801969E-03,+352.6906369E-03
-250.6250E-06,-5.9481783E-03,-101.4066415E-03,+390.3068426E-03
-250.5000E-06,-13.0826004E-03,-100.2954606E-03,+385.7528225E-03
-250.3750E-06,-19.1937812E-03,-89.1153414E-03,+340.0122451E-03
-250.2500E-06,-24.3081028E-03,-68.8408441E-03,+257.0562158E-03
-250.1250E-06,-27.0273238E-03,-41.6806685E-03,+146.6121215E-03
-250.0000E-06,-28.0467962E-03,-10.3535646E-03,+20.2289571E-03
-249.8750E-06,-25.1070977E-03,+22.5127981E-03,-113.2038304E-03
-249.7500E-06,-19.3313440E-03,+51.7359448E-03,-231.4261910E-03
-249.6250E-06,-13.1523240E-03,+74.9933252E-03,-325.8947829E-03
-249.5000E-06,-2.3432789E-03,+90.2492924E-03,-387.8658878E-03
-249.3750E-06,+8.8143843E-03,+95.1539720E-03,-407.4663901E-03
-249.2500E-06,+18.2854898E-03,+89.5980675E-03,-384.7145059E-03
-249.1250E-06,+25.0788314E-03,+74.3648704E-03,-322.7798332E-03
-249.0000E-06,+27.7057158E-03,+50.7887086E-03,-227.2547086E-03
