x-axis,1,2,3
second,Volt,Volt,Volt
+4.7200000E-03,-589.6620291E-03,+3.1527183387E+00,-69.4463654E-03
+4.7204625E-03,-182.1251939E-03,+3.1530706068E+00,-121.2499350E-03
+4.7209250E-03,+369.9998681E-03,+3.1534695611E+00,-25.2891354E-03
+4.7213875E-03,+257.9238643E-03,+3.1529687462E+00,+94.4871094E-03
+4.7218500E-03,-222.6016466E-03,+3.1528456646E+00,+80.1678358E-03
+4.7223125E-03,-614.9616689E-03,+3.1527480481E+00,-49.2866566E-03
+4.7227750E-03,-261.3188810E-03,+3.1531045604E+00,-123.8350735E-03
+4.7232375E-03,+308.2714632E-03,+3.1537836314E+00,-47.1615887E-03
+4.7237000E-03,+343.4422492E-03,+3.1534101423E+00,+82.8334018E-03
+4.7241625E-03,-89.7579532E-03,+3.1533464794E+00,+97.5813389E-03
+4.7246250E-03,-609.6670370E-03,+3.1529347926E+00,-23.6116178E-03
+4.7250875E-03,-332.0373374E-03,+3.1531045604E+00,-122.0461458E-03
+4.7255500E-03,+216.5612238E-03,+3.1537199685E+00,-67.5018879E-03
+4.7260125E-03,+382.6967986E-03,+3.1531257813E+00,+66.5399414E-03
+4.7264750E-03,-4.7268018E-03,+3.1528753739E+00,+106.2834219E-03
+4.7269375E-03,-569.3955788E-03,+3.1526546758E+00,+314.3887E-06
+4.7274000E-03,-418.3515087E-03,+3.1527225829E+00,-113.6154791E-03
+4.7278625E-03,+89.9671060E-03,+3.1532233978E+00,-89.2414979E-03
+4.7283250E-03,+399.4910738E-03,+3.1534101423E+00,+41.3911827E-03
+4.7287875E-03,+67.2763721E-03,+3.1532191536E+00,+108.3369751E-03
+4.7292500E-03,-499.9172759E-03,+3.1528753739E+00,+22.6144444E-03
+4.7297125E-03,-481.9443880E-03,+3.1528456646E+00,-102.2957895E-03
+4.7301750E-03,-3.3024503E-03,+3.1534483401E+00,-103.6221001E-03
+4.7306375E-03,+400.5606107E-03,+3.1537496779E+00,+19.9081342E-03
+4.7311000E-03,+143.9099615E-03,+3.1529050833E+00,+110.1952954E-03
+4.7315625E-03,-389.8220374E-03,+3.1525613036E+00,+50.2551816E-03
+4.7320250E-03,-543.6146474E-03,+3.1526589200E+00,-82.9448119E-03
+4.7324875E-03,-95.5601907E-03,+3.1533846772E+00,-114.3989572E-03
+4.7329500E-03,+397.9088384E-03,+3.1535926427E+00,-2.5224305E-03
+4.7334125E-03,+213.4043924E-03,+3.1528753739E+00,+105.0912278E-03
+4.7338750E-03,-287.8968721E-03,+3.1528456646E+00,+68.9438528E-03
+4.7343375E-03,-604.4763879E-03,+3.1528753739E+00,-64.8844936E-03
+4.7348000E-03,-219.9405371E-03,+3.1530366533E+00,-122.8255920E-03
+4.7352625E-03,+346.4046966E-03,+3.1533464794E+00,-30.2686359E-03
+4.7357250E-03,+292.3463989E-03,+3.1528711297E+00,+92.5869838E-03
+4.7361875E-03,-172.1025300E-03,+3.1526292107E+00,+84.8496061E-03
+4.7366500E-03,-619.8004744E-03,+3.1529050833E+00,-44.3167055E-03
+4.7371125E-03,-291.8456701E-03,+3.1530706068E+00,-124.0850566E-03
+4.7375750E-03,+273.9478184E-03,+3.1535332240E+00,-51.8021903E-03
+4.7380375E-03,+347.9559494E-03,+3.1531894443E+00,+78.5087804E-03
+4.7385000E-03,-82.4566665E-03,+3.1530324091E+00,+99.6155811E-03
+4.7389625E-03,-608.6679538E-03,+3.1527480481E+00,-15.4625533E-03
+4.7394250E-03,-354.6695014E-03,+3.1528499087E+00,-117.3875064E-03
+4.7398875E-03,+183.3673834E-03,+3.1533464794E+00,-71.6548317E-03
+4.7403500E-03,+383.9382253E-03,+3.1531257813E+00,+61.2815974E-03
+4.7408125E-03,-448.6543E-06,+3.1530026997E+00,+107.3527465E-03
+4.7412750E-03,-565.7914094E-03,+3.1527140945E+00,+7.1519972E-03
+4.7417375E-03,-437.9469519E-03,+3.1525995013E+00,-111.0496516E-03
+4.7422000E-03,+61.2271226E-03,+3.1533167701E+00,-94.1965943E-03
+4.7426625E-03,+400.5478781E-03,+3.1534738052E+00,+36.4831968E-03
+4.7431250E-03,+101.8737675E-03,+3.1533761888E+00,+111.5398560E-03
+4.7435875E-03,-451.4477328E-03,+3.1528414204E+00,+31.6908653E-03
+4.7440500E-03,-506.1935898E-03,+3.1525952571E+00,-98.9148647E-03
+4.7445125E-03,-38.9316092E-03,+3.1532276420E+00,-107.5528603E-03
+4.7449750E-03,+400.4672384E-03,+3.1536902591E+00,+14.7809358E-03
+4.7454375E-03,+165.2879662E-03,+3.1532191536E+00,+109.4455586E-03
+4.7459000E-03,-358.4676305E-03,+3.1527480481E+00,+54.5503058E-03
+4.7463625E-03,-570.5695229E-03,+3.1524679313E+00,-78.1974688E-03
+4.7468250E-03,-141.5494269E-03,+3.1529772346E+00,-115.6348665E-03
+4.7472875E-03,+388.4408906E-03,+3.1536605498E+00,-7.6589662E-03
+4.7477500E-03,+228.5243332E-03,+3.1533761888E+00,+103.0686572E-03
+4.7482125E-03,-265.7209590E-03,+3.1529687462E+00,+72.6208102E-03
+4.7486750E-03,-605.5713899E-03,+3.1527820016E+00,-59.0342967E-03
+4.7491375E-03,-224.6787551E-03,+3.1532913049E+00,-123.1640665E-03
+4.7496000E-03,+341.8107811E-03,+3.1538472943E+00,-36.9882559E-03
+4.7500625E-03,+317.4677826E-03,+3.1532488630E+00,+89.3864371E-03
+4.7505250E-03,-133.5325691E-03,+3.1527820016E+00,+92.1182125E-03
+4.7509875E-03,-617.3592141E-03,+3.1526546758E+00,-33.7985320E-03
+4.7514500E-03,-299.7623649E-03,+3.1529772346E+00,-123.4282676E-03
+4.7519125E-03,+262.5283903E-03,+3.1534695611E+00,-58.1631759E-03
+4.7523750E-03,+366.8447344E-03,+3.1530324091E+00,+74.5924505E-03
+4.7528375E-03,-43.5420771E-03,+3.1528753739E+00,+102.6898629E-03
+4.7533000E-03,-592.2250978E-03,+3.1524636871E+00,-10.3052211E-03
+4.7537625E-03,-389.0474719E-03,+3.1526334549E+00,-117.5829515E-03
+4.7542250E-03,+132.9463599E-03,+3.1535035146E+00,-78.3956726E-03
+4.7546875E-03,+394.5508321E-03,+3.1532191536E+00,+56.7988798E-03
+4.7551500E-03,+35.8196802E-03,+3.1530026997E+00,+109.2375930E-03
+4.7556125E-03,-535.4267486E-03,+3.1527140945E+00,+12.2278409E-03
+4.7560750E-03,-452.5639557E-03,+3.1525358384E+00,-108.0647101E-03
+4.7565375E-03,+39.7888504E-03,+3.1532870607E+00,-97.2693907E-03
+4.7570000E-03,+400.5478781E-03,+3.1534398517E+00,+30.1780224E-03
+4.7574625E-03,+112.2699204E-03,+3.1529984555E+00,+111.0950645E-03
+4.7579250E-03,-436.2000418E-03,+3.1524339777E+00,+40.6830389E-03
+4.7583875E-03,-516.0486080E-03,+3.1524721755E+00,-90.3757587E-03
+4.7588500E-03,-53.3920022E-03,+3.1531936884E+00,-109.7770301E-03
+4.7593125E-03,+400.4579012E-03,+3.1534398517E+00,+8.1137316E-03
+4.7597750E-03,+181.7766595E-03,+3.1531257813E+00,+108.0207827E-03
+4.7602375E-03,-334.2842137E-03,+3.1528117110E+00,+60.4554650E-03
+4.7607000E-03,-589.9357796E-03,+3.1526886294E+00,-73.8452601E-03
