x-axis,1,2,3
second,Volt,Volt,Volt
+5.9580000E-03,,,
+5.9581250E-03,,,
+5.9582500E-03,,,
+5.9583750E-03,,,
+5.9585000E-03,,,
+5.9586250E-03,,,
+5.9587500E-03,,,
+5.9588750E-03,,,
+5.9590000E-03,,,
+5.9591250E-03,,,
+5.9592500E-03,,,
+5.9593750E-03,,,
+5.9595000E-03,-21.1272454E-03,+3.1548234589E+00,+27.5164884E-03
+5.9596250E-03,-21.1272454E-03,+3.1545093886E+00,-5.3666771E-03
+5.9597500E-03,-21.1272454E-03,+3.1549804941E+00,-37.4411114E-03
+5.9598750E-03,-21.1272454E-03,+3.1548234589E+00,-66.4298046E-03
+5.9600000E-03,-21.1272454E-03,+3.1546664237E+00,-88.9486485E-03
+5.9601250E-03,-21.1272454E-03,+3.1548234589E+00,-102.7520404E-03
+5.9602500E-03,-21.1272454E-03,+3.1546664237E+00,-106.3481458E-03
+5.9603750E-03,+3.8217179E-03,+3.1562367755E+00,-99.3600806E-03
+5.9605000E-03,+29.9280305E-03,+3.1556086348E+00,-82.3924300E-03
+5.9606250E-03,+29.9280305E-03,+3.1549804941E+00,-56.5208851E-03
+5.9607500E-03,+29.9280305E-03,+3.1556086348E+00,-25.9461367E-03
+5.9608750E-03,+29.9280305E-03,+3.1557656700E+00,+6.3559987E-03
+5.9610000E-03,+29.9280305E-03,+3.1559227051E+00,+37.5274808E-03
+5.9611250E-03,+29.9280305E-03,+3.1552945644E+00,+64.1292393E-03
+5.9612500E-03,+29.9280305E-03,+3.1554515996E+00,+83.8135983E-03
+5.9613750E-03,+29.9280305E-03,+3.1557656700E+00,+93.2671158E-03
+5.9615000E-03,+29.8016172E-03,+3.1557656700E+00,+92.2306837E-03
+5.9616250E-03,-17.2696763E-03,+3.1543523534E+00,+80.3117140E-03
+5.9617500E-03,-21.1272454E-03,+3.1543523534E+00,+59.5124051E-03
+5.9618750E-03,-21.1272454E-03,+3.1549804941E+00,+31.7799934E-03
+5.9620000E-03,-21.1272454E-03,+3.1546664237E+00,+215.9234E-06
+5.9621250E-03,-21.1272454E-03,+3.1545093886E+00,-32.0312497E-03
+5.9622500E-03,-21.1272454E-03,+3.1549804941E+00,-62.7002192E-03
+5.9623750E-03,-21.1272454E-03,+3.1552945644E+00,-86.3340129E-03
+5.9625000E-03,-21.1272454E-03,+3.1549804941E+00,-101.4643519E-03
+5.9626250E-03,-21.1272454E-03,+3.1545093886E+00,-106.4659222E-03
+5.9627500E-03,-3.0462154E-03,+3.1556086348E+00,-100.9304323E-03
+5.9628750E-03,+29.9272453E-03,+3.1567078810E+00,-85.2661737E-03
+5.9630000E-03,+29.9280305E-03,+3.1560797403E+00,-61.3026061E-03
+5.9631250E-03,+29.9280305E-03,+3.1562367755E+00,-31.3717019E-03
+5.9632500E-03,+29.9280305E-03,+3.1556086348E+00,+1.8883480E-03
+5.9633750E-03,+29.9280305E-03,+3.1559227051E+00,+33.3817522E-03
+5.9635000E-03,+29.9280305E-03,+3.1560797403E+00,+60.8393524E-03
+5.9636250E-03,+29.9280305E-03,+3.1551375293E+00,+81.7093270E-03
+5.9637500E-03,+29.9280305E-03,+3.1560797403E+00,+92.6154199E-03
+5.9638750E-03,+29.9272453E-03,+3.1560797403E+00,+92.9766008E-03
+5.9640000E-03,-10.0696136E-03,+3.1541953182E+00,+83.0598295E-03
+5.9641250E-03,-21.1272454E-03,+3.1548234589E+00,+63.6345785E-03
+5.9642500E-03,-21.1272454E-03,+3.1549804941E+00,+35.9100185E-03
+5.9643750E-03,-21.1272454E-03,+3.1540382830E+00,+4.6600188E-03
+5.9645000E-03,-21.1272454E-03,+3.1548234589E+00,-27.6421165E-03
+5.9646250E-03,-21.1272454E-03,+3.1549804941E+00,-58.9078197E-03
+5.9647500E-03,-21.1272454E-03,+3.1545093886E+00,-83.4995280E-03
+5.9648750E-03,-21.1272454E-03,+3.1545093886E+00,-99.9175555E-03
+5.9650000E-03,-21.1272454E-03,+3.1548234589E+00,-106.4580705E-03
+5.9651250E-03,-11.0495130E-03,+3.1556086348E+00,-102.5635981E-03
+5.9652500E-03,+29.9272453E-03,+3.1554515996E+00,-87.9593269E-03
+5.9653750E-03,+29.9280305E-03,+3.1554515996E+00,-65.0478950E-03
+5.9655000E-03,+29.9280305E-03,+3.1551375293E+00,-35.7137245E-03
+5.9656250E-03,+29.9280305E-03,+3.1557656700E+00,-2.5871545E-03
+5.9657500E-03,+29.9280305E-03,+3.1552945644E+00,+29.2046165E-03
+5.9658750E-03,+29.9280305E-03,+3.1562367755E+00,+57.3531715E-03
+5.9660000E-03,+29.9280305E-03,+3.1560797403E+00,+78.9769150E-03
+5.9661250E-03,+29.9280305E-03,+3.1559227051E+00,+91.4298043E-03
+5.9662500E-03,+29.9280305E-03,+3.1559227051E+00,+93.5497791E-03
+5.9663750E-03,-2.4910961E-03,+3.1545093886E+00,+85.0620280E-03
+5.9665000E-03,-21.1272454E-03,+3.1540382830E+00,+66.7988372E-03
+5.9666250E-03,-21.1272454E-03,+3.1546664237E+00,+40.0086365E-03
+5.9667500E-03,-21.1272454E-03,+3.1546664237E+00,+9.1198177E-03
+5.9668750E-03,-21.1272454E-03,+3.1546664237E+00,-23.1666141E-03
+5.9670000E-03,-21.1272454E-03,+3.1551375293E+00,-54.0789881E-03
+5.9671250E-03,-21.1272454E-03,+3.1543523534E+00,-79.7934979E-03
+5.9672500E-03,-21.1272454E-03,+3.1562367755E+00,-98.2058721E-03
+5.9673750E-03,-21.1272454E-03,+3.1546664237E+00,-106.1597036E-03
+5.9675000E-03,-17.8562027E-03,+3.1554515996E+00,-103.6863996E-03
+5.9676250E-03,+29.7733508E-03,+3.1552945644E+00,-90.4875933E-03
+5.9677500E-03,+29.9280305E-03,+3.1559227051E+00,-68.6518523E-03
+5.9678750E-03,+29.9280305E-03,+3.1552945644E+00,-40.0635988E-03
+5.9680000E-03,+29.9280305E-03,+3.1563938106E+00,-8.1069409E-03
+5.9681250E-03,+29.9280305E-03,+3.1560797403E+00,+23.9046794E-03
+5.9682500E-03,+29.9280305E-03,+3.1562367755E+00,+53.8198801E-03
+5.9683750E-03,+29.9280305E-03,+3.1557656700E+00,+76.4722040E-03
+5.9685000E-03,+29.9280305E-03,+3.1552945644E+00,+90.3462616E-03
+5.9686250E-03,+29.9280305E-03,+3.1554515996E+00,+93.9109600E-03
+5.9687500E-03,+4.6139604E-03,+3.1548234589E+00,+86.8600807E-03
+5.9688750E-03,-21.1272454E-03,+3.1554515996E+00,+69.8374678E-03
+5.9690000E-03,-21.1272454E-03,+3.1545093886E+00,+44.9002822E-03
+5.9691250E-03,-21.1272454E-03,+3.1541953182E+00,+14.5610865E-03
+5.9692500E-03,-21.1272454E-03,+3.1537242127E+00,-18.7146669E-03
+5.9693750E-03,-21.1272454E-03,+3.1552945644E+00,-50.0353324E-03
+5.9695000E-03,-21.1272454E-03,+3.1554515996E+00,-76.6449426E-03
+5.9696250E-03,-21.1272454E-03,+3.1554515996E+00,-96.3135982E-03
+5.9697500E-03,-21.1272454E-03,+3.1546664237E+00,-105.6885981E-03
+5.9698750E-03,-21.0432315E-03,+3.1549804941E+00,-104.6521660E-03
+5.9700000E-03,+25.8372642E-03,+3.1560797403E+00,-93.4320028E-03
+5.9701250E-03,+29.9280305E-03,+3.1560797403E+00,-72.9232090E-03
+5.9702500E-03,+29.9280305E-03,+3.1552945644E+00,-44.3035485E-03
+5.9703750E-03,+29.9280305E-03,+3.1563938106E+00,-12.5902951E-03
+5.9705000E-03,+29.9280305E-03,+3.1565508458E+00,+19.5469533E-03
+5.9706250E-03,+29.9280305E-03,+3.1557656700E+00,+50.0902947E-03
+5.9707500E-03,+29.9280305E-03,+3.1552945644E+00,+73.8418648E-03
+5.9708750E-03,+29.9280305E-03,+3.1556086348E+00,+88.9722038E-03
+5.9710000E-03,+29.9280305E-03,+3.1557656700E+00,+94.1308093E-03
+5.9711250E-03,+13.0483196E-03,+3.1548234589E+00,+88.7680581E-03
+5.9712500E-03,-21.1272454E-03,+3.1548234589E+00,+72.7347668E-03
+5.9713750E-03,-21.1272454E-03,+3.1552945644E+00,+48.7162369E-03
+5.9715000E-03,-21.1272454E-03,+3.1551375293E+00,+18.9737749E-03
+5.9716250E-03,-21.1272454E-03,+3.1552945644E+00,-14.2784232E-03
+5.9717500E-03,-21.1272454E-03,+3.1556086348E+00,-45.8817520E-03
+5.9718750E-03,-21.1272454E-03,+3.1552945644E+00,-73.3550557E-03
+5.9720000E-03,-21.1272454E-03,+3.1551375293E+00,-93.7460731E-03
+5.9721250E-03,-21.1272454E-03,+3.1546664237E+00,-104.8406082E-03
+5.9722500E-03,-21.1272453E-03,+3.1548234589E+00,-105.3980830E-03
+5.9723750E-03,+18.5853799E-03,+3.1565508458E+00,-95.5833847E-03
+5.9725000E-03,+29.9280305E-03,+3.1559227051E+00,-76.2209477E-03
+5.9726250E-03,+29.9280305E-03,+3.1556086348E+00,-48.4414254E-03
+5.9727500E-03,+29.9280305E-03,+3.1557656700E+00,-17.0736493E-03
+5.9728750E-03,+29.9280305E-03,+3.1560797403E+00,+15.1892272E-03
+5.9730000E-03,+29.9280305E-03,+3.1562367755E+00,+45.4027947E-03
+5.9731250E-03,+29.9280305E-03,+3.1567078810E+00,+70.2850181E-03
+5.9732500E-03,+29.9280305E-03,+3.1554515996E+00,+87.4254074E-03
+5.9733750E-03,+29.9280305E-03,+3.1554515996E+00,+94.0365882E-03
+5.9735000E-03,+20.0528735E-03,+3.1551375293E+00,+90.0950053E-03
+5.9736250E-03,-21.1272454E-03,+3.1543523534E+00,+75.4200683E-03
+5.9737500E-03,-21.1272454E-03,+3.1548234589E+00,+52.4379705E-03
+5.9738750E-03,-21.1272454E-03,+3.1554515996E+00,+23.2765387E-03
+5.9740000E-03,-21.1272454E-03,+3.1551375293E+00,-8.7036745E-03
+5.9741250E-03,-21.1272454E-03,+3.1543523534E+00,-40.6681842E-03
+5.9742500E-03,-21.1272454E-03,+3.1549804941E+00,-69.9081337E-03
+5.9743750E-03,-21.1272454E-03,+3.1548234589E+00,-91.4298043E-03
+5.9745000E-03,-21.1272454E-03,+3.1549804941E+00,-103.8669901E-03
+5.9746250E-03,-21.1272453E-03,+3.1543523534E+00,-105.9555579E-03
+5.9747500E-03,+11.1898083E-03,+3.1563938106E+00,-97.5541761E-03
+5.9748750E-03,+29.9280305E-03,+3.1563938106E+00,-79.4009100E-03
+5.9750000E-03,+29.9280305E-03,+3.1559227051E+00,-53.5293650E-03
+5.9751250E-03,+29.9280305E-03,+3.1563938106E+00,-22.5620286E-03
+5.9752500E-03,+29.9280305E-03,+3.1560797403E+00,+10.7451318E-03
+5.9753750E-03,+29.9280305E-03,+3.1551375293E+00,+41.5004707E-03
+5.9755000E-03,+29.9280305E-03,+3.1554515996E+00,+67.2149804E-03
+5.9756250E-03,+29.9280305E-03,+3.1562367755E+00,+85.7215757E-03
+5.9757500E-03,+29.9280305E-03,+3.1556086348E+00,+93.7774802E-03
+5.9758750E-03,+26.6302918E-03,+3.1549804941E+00,+91.2570656E-03
+5.9760000E-03,-20.9654991E-03,+3.1540382830E+00,+78.5686235E-03
+5.9761250E-03,-21.1272454E-03,+3.1546664237E+00,+56.8977695E-03
+5.9762500E-03,-21.1272454E-03,+3.1546664237E+00,+27.5714507E-03
+5.9763750E-03,-21.1272454E-03,+3.1548234589E+00,-4.2281721E-03
+5.9765000E-03,-21.1272454E-03,+3.1549804941E+00,-36.3261617E-03
+5.9766250E-03,-21.1272454E-03,+3.1546664237E+00,-66.3512870E-03
+5.9767500E-03,-21.1272454E-03,+3.1549804941E+00,-88.9722038E-03
+5.9768750E-03,-21.1272454E-03,+3.1546664237E+00,-102.7598921E-03
+5.9770000E-03,-21.1272453E-03,+3.1548234589E+00,-106.4031082E-03
+5.9771250E-03,+2.3926979E-03,+3.1559227051E+00,-99.6741509E-03
+5.9772500E-03,+29.9272453E-03,+3.1565508458E+00,-82.4473923E-03
+5.9773750E-03,+29.9280305E-03,+3.1556086348E+00,-57.5180584E-03
+5.9775000E-03,+29.9280305E-03,+3.1557656700E+00,-27.0061241E-03
+5.9776250E-03,+29.9280305E-03,+3.1556086348E+00,+6.3088881E-03
+5.9777500E-03,+29.9280305E-03,+3.1563938106E+00,+37.4646667E-03
+5.9778750E-03,+29.9280305E-03,+3.1557656700E+00,+64.0978322E-03
+5.9780000E-03,+29.9280305E-03,+3.1554515996E+00,+83.3660481E-03
+5.9781250E-03,+29.9280305E-03,+3.1552945644E+00,+93.0629701E-03
+5.9782500E-03,+29.8573646E-03,+3.1559227051E+00,+92.1992766E-03
+5.9783750E-03,-17.0388346E-03,+3.1545093886E+00,+80.9162994E-03
+5.9785000E-03,-21.1272454E-03,+3.1557656700E+00,+60.3525433E-03
+5.9786250E-03,-21.1272454E-03,+3.1543523534E+00,+31.8035486E-03
+5.9787500E-03,-21.1272454E-03,+3.1545093886E+00,+223.7751E-06
+5.9788750E-03,-21.1272454E-03,+3.1551375293E+00,-31.9841391E-03
+5.9790000E-03,-21.1272454E-03,+3.1546664237E+00,-61.8522292E-03
+5.9791250E-03,-21.1272454E-03,+3.1546664237E+00,-85.5880958E-03
+5.9792500E-03,-21.1272454E-03,+3.1546664237E+00,-101.4093896E-03
+5.9793750E-03,-21.1272454E-03,+3.1548234589E+00,-106.5287363E-03
+5.9795000E-03,-4.3912217E-03,+3.1551375293E+00,-101.2209474E-03
+5.9796250E-03,+29.9272453E-03,+3.1560797403E+00,-85.2897290E-03
+5.9797500E-03,+29.9280305E-03,+3.1556086348E+00,-61.3654202E-03
+5.9798750E-03,+29.9280305E-03,+3.1562367755E+00,-31.4266642E-03
+5.9800000E-03,+29.9280305E-03,+3.1560797403E+00,+812.6570E-06
+5.9801250E-03,+29.9280305E-03,+3.1559227051E+00,+32.3531718E-03
+5.9802500E-03,+29.9280305E-03,+3.1556086348E+00,+60.8000936E-03
+5.9803750E-03,+29.9280305E-03,+3.1554515996E+00,+81.2617768E-03
+5.9805000E-03,+29.9280305E-03,+3.1557656700E+00,+92.3563118E-03
+5.9806250E-03,+29.9272453E-03,+3.1551375293E+00,+92.9687490E-03
+5.9807500E-03,-9.8607568E-03,+3.1546664237E+00,+83.0676813E-03
+5.9808750E-03,-21.1272454E-03,+3.1546664237E+00,+63.6659855E-03
+5.9810000E-03,-21.1272454E-03,+3.1557656700E+00,+36.9150436E-03
+5.9811250E-03,-21.1272454E-03,+3.1545093886E+00,+5.7749685E-03
+5.9812500E-03,-21.1272454E-03,+3.1540382830E+00,-27.5793025E-03
+5.9813750E-03,-21.1272454E-03,+3.1541953182E+00,-57.9499052E-03
+5.9815000E-03,-21.1272454E-03,+3.1545093886E+00,-82.7614627E-03
+5.9816250E-03,-21.1272454E-03,+3.1543523534E+00,-99.8861484E-03
+5.9817500E-03,-21.1272454E-03,+3.1543523534E+00,-106.4580705E-03
+5.9818750E-03,-11.0809201E-03,+3.1556086348E+00,-102.5635981E-03
+5.9820000E-03,+29.9272453E-03,+3.1565508458E+00,-88.6345782E-03
+5.9821250E-03,+29.9280305E-03,+3.1556086348E+00,-65.9115885E-03
+5.9822500E-03,+29.9280305E-03,+3.1560797403E+00,-35.7686868E-03
+5.9823750E-03,+29.9280305E-03,+3.1557656700E+00,-3.6864007E-03
+5.9825000E-03,+29.9280305E-03,+3.1557656700E+00,+28.1367773E-03
+5.9826250E-03,+29.9280305E-03,+3.1557656700E+00,+57.3139127E-03
+5.9827500E-03,+29.9280305E-03,+3.1557656700E+00,+78.9376562E-03
+5.9828750E-03,+29.9280305E-03,+3.1554515993E+00,+91.4141008E-03
+5.9830000E-03,+29.9280305E-03,+1.7300433230E+00,+94.6176183E-03
+5.9831250E-03,+21.3115105E-03,-106.7971092E-03,+94.7353947E-03
