"# Risultati Analisi Ringdown Accurata (Picchi Reali, Blanking 100 us)"
fase_deg,tau_ms,A0_mV,Q_factor,R2,file_csv
-360.00,2.2034,20.032,2892.1,0.95052,traccia_fase_-360.0deg.csv
-355.00,2.2168,20.027,2909.6,0.95119,traccia_fase_-355.0deg.csv
-350.00,2.1989,20.123,2886.2,0.95059,traccia_fase_-350.0deg.csv
-345.00,2.2048,20.187,2894.0,0.94960,traccia_fase_-345.0deg.csv
-340.00,2.2044,20.153,2893.4,0.95040,traccia_fase_-340.0deg.csv
-335.00,2.2061,20.193,2895.6,0.94966,traccia_fase_-335.0deg.csv
-330.00,2.2063,20.298,2895.9,0.94908,traccia_fase_-330.0deg.csv
-325.00,2.1991,20.224,2886.4,0.94989,traccia_fase_-325.0deg.csv
-320.00,2.1933,20.158,2878.9,0.94914,traccia_fase_-320.0deg.csv
-315.00,2.1856,20.348,2868.8,0.95065,traccia_fase_-315.0deg.csv
-310.00,2.1990,20.312,2886.4,0.94920,traccia_fase_-310.0deg.csv
-305.00,2.2219,20.118,2916.4,0.94767,traccia_fase_-305.0deg.csv
-300.00,2.1990,20.112,2886.4,0.94773,traccia_fase_-300.0deg.csv
-295.00,2.2137,19.992,2905.7,0.94779,traccia_fase_-295.0deg.csv
-290.00,2.2010,20.095,2889.0,0.94922,traccia_fase_-290.0deg.csv
-285.00,2.2070,20.088,2896.8,0.95010,traccia_fase_-285.0deg.csv
-280.00,2.2080,20.000,2898.1,0.94821,traccia_fase_-280.0deg.csv
-275.00,2.1988,20.089,2886.1,0.95023,traccia_fase_-275.0deg.csv
-270.00,2.2014,20.277,2889.5,0.95067,traccia_fase_-270.0deg.csv
-265.00,2.2030,20.207,2891.5,0.94935,traccia_fase_-265.0deg.csv
-260.00,2.2144,20.259,2906.6,0.95021,traccia_fase_-260.0deg.csv
-255.00,2.2213,20.181,2915.6,0.94997,traccia_fase_-255.0deg.csv
-250.00,2.1908,20.274,2875.5,0.94933,traccia_fase_-250.0deg.csv
-245.00,2.1979,20.319,2884.9,0.95008,traccia_fase_-245.0deg.csv
-240.00,2.1960,20.202,2882.4,0.94864,traccia_fase_-240.0deg.csv
-235.00,2.1924,20.213,2877.7,0.95115,traccia_fase_-235.0deg.csv
-230.00,2.1920,20.185,2877.2,0.94819,traccia_fase_-230.0deg.csv
-225.00,2.2084,20.167,2898.7,0.94901,traccia_fase_-225.0deg.csv
-220.00,2.1982,20.285,2885.3,0.95024,traccia_fase_-220.0deg.csv
-215.00,2.1967,20.409,2883.2,0.95057,traccia_fase_-215.0deg.csv
-210.00,2.2063,20.244,2895.9,0.94692,traccia_fase_-210.0deg.csv
-205.00,2.2039,20.359,2892.7,0.94810,traccia_fase_-205.0deg.csv
-200.00,2.2065,20.290,2896.1,0.94848,traccia_fase_-200.0deg.csv
-195.00,2.2042,20.222,2893.1,0.94932,traccia_fase_-195.0deg.csv
-190.00,2.2074,20.210,2897.3,0.94927,traccia_fase_-190.0deg.csv
-185.00,2.2054,20.281,2894.7,0.94760,traccia_fase_-185.0deg.csv
-180.00,2.2101,20.328,2900.9,0.94861,traccia_fase_-180.0deg.csv
-175.00,2.2038,20.386,2892.6,0.94834,traccia_fase_-175.0deg.csv
-170.00,2.2150,20.446,2907.3,0.94952,traccia_fase_-170.0deg.csv
-165.00,2.2043,20.417,2893.3,0.94953,traccia_fase_-165.0deg.csv
-160.00,2.2116,20.483,2902.8,0.94867,traccia_fase_-160.0deg.csv
-155.00,2.2027,20.583,2891.1,0.94978,traccia_fase_-155.0deg.csv
-150.00,2.2083,20.552,2898.5,0.94965,traccia_fase_-150.0deg.csv
-145.00,2.2093,20.548,2899.8,0.94886,traccia_fase_-145.0deg.csv
-140.00,2.2020,20.750,2890.2,0.94901,traccia_fase_-140.0deg.csv
-135.00,2.2095,20.864,2900.1,0.95078,traccia_fase_-135.0deg.csv
-130.00,2.2081,20.902,2898.3,0.94940,traccia_fase_-130.0deg.csv
-125.00,2.2127,20.856,2904.3,0.94841,traccia_fase_-125.0deg.csv
-120.00,2.2051,20.869,2894.3,0.95015,traccia_fase_-120.0deg.csv
-115.00,2.2115,20.820,2902.7,0.94979,traccia_fase_-115.0deg.csv
-110.00,2.2136,20.822,2905.5,0.95012,traccia_fase_-110.0deg.csv
-105.00,2.2033,20.940,2891.9,0.95059,traccia_fase_-105.0deg.csv
-100.00,2.2140,21.061,2906.0,0.95201,traccia_fase_-100.0deg.csv
-95.00,2.2155,21.238,2907.9,0.94952,traccia_fase_-95.0deg.csv
-90.00,2.2194,21.385,2913.0,0.95000,traccia_fase_-90.0deg.csv
-85.00,2.2244,21.456,2919.7,0.95067,traccia_fase_-85.0deg.csv
-80.00,2.2242,21.595,2919.4,0.94903,traccia_fase_-80.0deg.csv
-75.00,2.2257,21.627,2921.3,0.95015,traccia_fase_-75.0deg.csv
-70.00,2.2247,21.834,2920.1,0.94970,traccia_fase_-70.0deg.csv
-65.00,2.2200,21.700,2913.9,0.95017,traccia_fase_-65.0deg.csv
-60.00,2.2205,21.633,2914.6,0.95117,traccia_fase_-60.0deg.csv
-55.00,2.2215,21.791,2915.8,0.95110,traccia_fase_-55.0deg.csv
-50.00,2.2174,21.828,2910.5,0.95194,traccia_fase_-50.0deg.csv
-45.00,2.2176,21.836,2910.8,0.95225,traccia_fase_-45.0deg.csv
-40.00,2.2121,21.824,2903.5,0.95101,traccia_fase_-40.0deg.csv
-35.00,2.2128,21.865,2904.4,0.95043,traccia_fase_-35.0deg.csv
-30.00,2.2118,21.957,2903.2,0.94975,traccia_fase_-30.0deg.csv
-25.00,2.2189,22.046,2912.4,0.95079,traccia_fase_-25.0deg.csv
-20.00,2.2233,22.085,2918.1,0.94974,traccia_fase_-20.0deg.csv
-15.00,2.2178,22.163,2911.0,0.94968,traccia_fase_-15.0deg.csv
