"# Analisi Frequenza fs, Tensione Residua V_post e Ampiezza A0 vs Burst Phase"
fase_deg,V_post_mV,fs_ringdown_Hz,Delta_fs_Hz,A0_mV
-360.00,-3.50,417790.131,-14.726,20.032
-355.00,+4.58,417791.157,-13.700,20.027
-350.00,+12.82,417791.565,-13.292,20.123
-345.00,+20.98,417791.787,-13.070,20.187
-340.00,+30.31,417792.246,-12.611,20.153
-335.00,+38.47,417792.014,-12.843,20.193
-330.00,+45.47,417792.295,-12.562,20.298
-325.00,+53.63,417792.672,-12.185,20.224
-320.00,+60.62,417792.072,-12.785,20.158
-315.00,+66.45,417792.618,-12.239,20.348
-310.00,+72.28,417792.571,-12.286,20.312
-305.00,+78.11,417791.904,-12.953,20.118
-300.00,+82.77,417792.535,-12.322,20.112
-295.00,+86.27,417792.184,-12.673,19.992
-290.00,+89.77,417792.447,-12.410,20.095
-285.00,+92.32,417791.957,-12.900,20.088
-280.00,+94.43,417791.494,-13.363,20.000
-275.00,+95.60,417792.133,-12.724,20.089
-270.00,+95.67,417792.799,-12.058,20.277
-265.00,+95.60,417792.034,-12.823,20.207
-260.00,+94.43,417792.611,-12.246,20.259
-255.00,+92.62,417792.742,-12.115,20.181
-250.00,+89.77,417792.485,-12.372,20.274
-245.00,+86.27,417792.411,-12.446,20.319
-240.00,+82.77,417792.000,-12.857,20.202
-235.00,+78.11,417791.778,-13.079,20.213
-230.00,+72.28,417791.809,-13.048,20.185
-225.00,+66.45,417791.665,-13.192,20.167
-220.00,+60.62,417791.807,-13.050,20.285
-215.00,+53.63,417792.316,-12.541,20.409
-210.00,+45.47,417792.238,-12.619,20.244
-205.00,+38.47,417792.372,-12.485,20.359
-200.00,+30.31,417792.114,-12.743,20.290
-195.00,+20.98,417791.736,-13.121,20.222
-190.00,+12.82,417792.071,-12.786,20.210
-185.00,+4.66,417791.464,-13.393,20.281
-180.00,-3.50,417792.030,-12.827,20.328
-175.00,-12.28,417792.338,-12.519,20.386
-170.00,-20.98,417792.679,-12.177,20.446
-165.00,-29.15,417792.114,-12.743,20.417
-160.00,-38.47,417792.469,-12.387,20.483
-155.00,-46.63,417792.497,-12.360,20.583
-150.00,-53.63,417792.543,-12.314,20.552
-145.00,-61.79,417793.094,-11.763,20.548
-140.00,-68.78,417793.597,-11.260,20.750
-135.00,-74.61,417794.392,-10.465,20.864
-130.00,-80.44,417794.393,-10.464,20.902
-125.00,-86.27,417794.534,-10.323,20.856
-120.00,-90.93,417793.916,-10.941,20.869
-115.00,-94.43,417793.975,-10.882,20.820
-110.00,-97.93,417793.721,-11.136,20.822
-105.00,-100.26,417794.049,-10.808,20.940
-100.00,-102.59,417795.170,-9.687,21.061
-95.00,-103.76,417796.173,-8.684,21.238
-90.00,-103.76,417797.392,-7.465,21.385
-85.00,-103.76,417797.654,-7.203,21.456
-80.00,-102.59,417798.481,-6.376,21.595
