# Forma d'onda Burst Phase Agilent 33220A = -95.000 deg
"# Medie: 512, Campioni: 8000, CH1: Vout, CH3: Vin"
tempo_s,tensione_CH1_Vout_V,tensione_CH3_Vin_V
-4.687500000e-05,4.020100e-03,8.743717e-02
-4.625000000e-05,2.090452e-02,1.632161e-02
-4.562500000e-05,-1.005025e-02,-9.909546e-02
-4.500000000e-05,-2.211055e-02,-1.049246e-02
-4.437500000e-05,1.125628e-02,9.210049e-02
-4.375000000e-05,1.648241e-02,-1.049246e-02
-4.312500000e-05,-1.206030e-02,-9.909546e-02
-4.250000000e-05,-1.809045e-02,1.515578e-02
-4.187500000e-05,1.728643e-02,8.743717e-02
-4.125000000e-05,1.045226e-02,-3.614070e-02
-4.062500000e-05,-1.768844e-02,-9.093466e-02
-4.000000000e-05,-1.447236e-02,4.080401e-02
-3.937500000e-05,2.251256e-02,7.694471e-02
-3.875000000e-05,5.226130e-03,-5.945728e-02
-3.812500000e-05,-2.050251e-02,-7.694471e-02
-3.750000000e-05,-9.648240e-03,6.178894e-02
-3.687500000e-05,2.371859e-02,5.945728e-02
-3.625000000e-05,-4.020100e-04,-7.927637e-02
-3.562500000e-05,-2.251256e-02,-5.712562e-02
-3.500000000e-05,-2.412060e-03,7.927637e-02
-3.437500000e-05,2.251256e-02,3.730653e-02
-3.375000000e-05,-5.628140e-03,-9.210049e-02
-3.312500000e-05,-2.251256e-02,-3.264321e-02
-3.250000000e-05,4.824120e-03,8.860300e-02
-3.187500000e-05,1.969849e-02,1.165829e-02
-3.125000000e-05,-1.005025e-02,-9.909546e-02
-3.062500000e-05,-2.090452e-02,-5.829145e-03
-3.000000000e-05,1.246231e-02,9.093466e-02
-2.937500000e-05,1.487437e-02,-1.398995e-02
-2.875000000e-05,-1.527638e-02,-9.792964e-02
-2.812500000e-05,-1.809045e-02,1.981909e-02
-2.750000000e-05,1.849246e-02,8.627135e-02
-2.687500000e-05,9.648240e-03,-4.080401e-02
-2.625000000e-05,-1.768844e-02,-8.976883e-02
-2.562500000e-05,-1.447236e-02,4.430150e-02
-2.500000000e-05,2.211055e-02,7.461306e-02
-2.437500000e-05,3.618090e-03,-6.412060e-02
-2.375000000e-05,-2.050251e-02,-7.461306e-02
-2.312500000e-05,-7.638190e-03,6.528642e-02
-2.250000000e-05,2.331658e-02,5.595979e-02
-2.187500000e-05,-2.010050e-03,-8.160803e-02
-2.125000000e-05,-2.251256e-02,-5.362813e-02
-2.062500000e-05,-1.206030e-03,8.044220e-02
-2.000000000e-05,2.291457e-02,3.380904e-02
-1.937500000e-05,-6.834170e-03,-9.443215e-02
-1.875000000e-05,-2.331658e-02,-2.914572e-02
-1.812500000e-05,6.432160e-03,8.976883e-02
-1.750000000e-05,1.929648e-02,6.994974e-03
-1.687500000e-05,-1.085427e-02,-9.909546e-02
-1.625000000e-05,-2.090452e-02,-2.331658e-03
-1.562500000e-05,1.366834e-02,9.093466e-02
-1.500000000e-05,1.487437e-02,-1.865326e-02
-1.437500000e-05,-1.487437e-02,-9.676381e-02
-1.375000000e-05,-1.688442e-02,2.331658e-02
-1.312500000e-05,1.929648e-02,8.510552e-02
-1.250000000e-05,8.442210e-03,-4.430150e-02
-1.187500000e-05,-1.849246e-02,-8.743717e-02
-1.125000000e-05,-1.326633e-02,4.779899e-02
-1.062500000e-05,2.211055e-02,7.228140e-02
-1.000000000e-05,2.412060e-03,-6.645225e-02
-9.375000000e-06,-2.090452e-02,-7.111557e-02
-8.750000000e-06,-7.236180e-03,6.878391e-02
-8.125000000e-06,2.371859e-02,5.362813e-02
-7.500000000e-06,-1.608040e-03,-8.393969e-02
-6.875000000e-06,-2.211055e-02,-5.013065e-02
-6.250000000e-06,-4.020100e-04,8.277386e-02
-5.625000000e-06,2.211055e-02,2.914572e-02
-5.000000000e-06,-7.638190e-03,-9.559798e-02
-4.375000000e-06,-2.211055e-02,-2.448241e-02
-3.750000000e-06,7.236180e-03,9.093466e-02
-3.125000000e-06,1.849246e-02,3.497487e-03
-2.500000000e-06,-1.125628e-02,-9.909546e-02
-1.875000000e-06,-1.969849e-02,1.165829e-03
-1.250000000e-06,1.487437e-02,9.093466e-02
-6.250000000e-07,1.447236e-02,-2.215075e-02
0.000000000e+00,-3.055276e-02,-1.025930e-01
6.250000000e-07,-5.105527e-02,-1.037588e-01
1.250000000e-06,1.889447e-02,-1.037588e-01
1.875000000e-06,5.025125e-02,-1.037588e-01
2.500000000e-06,-2.934673e-02,-1.037588e-01
3.125000000e-06,-3.095477e-02,-1.037588e-01
3.750000000e-06,2.130653e-02,-1.037588e-01
4.375000000e-06,1.165829e-02,-1.037588e-01
5.000000000e-06,-1.969849e-02,-1.037588e-01
5.625000000e-06,-1.326633e-02,-1.037588e-01
6.250000000e-06,2.211055e-02,-1.037588e-01
6.875000000e-06,4.824120e-03,-1.037588e-01
7.500000000e-06,-2.291457e-02,-1.037588e-01
8.125000000e-06,-6.834170e-03,-1.037588e-01
8.750000000e-06,2.291457e-02,-1.037588e-01
9.375000000e-06,0.000000e+00,-1.037588e-01
1.000000000e-05,-2.492462e-02,-1.037588e-01
1.062500000e-05,4.020100e-04,-1.037588e-01
1.125000000e-05,2.130653e-02,-1.037588e-01
1.187500000e-05,-6.030150e-03,-1.037588e-01
1.250000000e-05,-2.452261e-02,-1.037588e-01
1.312500000e-05,8.442210e-03,-1.037588e-01
1.375000000e-05,1.849246e-02,-1.037588e-01
1.437500000e-05,-1.085427e-02,-1.037588e-01
1.500000000e-05,-2.211055e-02,-1.037588e-01
1.562500000e-05,1.487437e-02,-1.037588e-01
1.625000000e-05,1.447236e-02,-1.037588e-01
1.687500000e-05,-1.608040e-02,-1.037588e-01
1.750000000e-05,-1.768844e-02,-1.037588e-01
1.812500000e-05,1.969849e-02,-1.037588e-01
1.875000000e-05,1.045226e-02,-1.037588e-01
1.937500000e-05,-2.050251e-02,-1.037588e-01
2.000000000e-05,-1.366834e-02,-1.037588e-01
2.062500000e-05,2.211055e-02,-1.037588e-01
2.125000000e-05,4.824120e-03,-1.037588e-01
2.187500000e-05,-2.251256e-02,-1.037588e-01
2.250000000e-05,-4.422110e-03,-1.037588e-01
2.312500000e-05,2.211055e-02,-1.037588e-01
2.375000000e-05,-1.608040e-03,-1.037588e-01
2.437500000e-05,-2.452261e-02,-1.037588e-01
2.500000000e-05,2.814070e-03,-1.037588e-01
2.562500000e-05,2.130653e-02,-1.037588e-01
2.625000000e-05,-6.432160e-03,-1.037588e-01
2.687500000e-05,-2.412060e-02,-1.037588e-01
2.750000000e-05,9.246230e-03,-1.037588e-01
2.812500000e-05,1.849246e-02,-1.037588e-01
2.875000000e-05,-1.045226e-02,-1.037588e-01
