num,f,Vin,Vout,gain,phase,re,im
96,416000,0.1001279233086268,1.1787050807227364,11.771991685971397,68.30032544594883,4.352593624973481,10.937765630622184
97,416500,0.10013425742415415,1.1801835585690044,11.786011989582331,68.2318740606745,4.370857333821244,10.945578321219921
98,417000,0.10012436224273001,1.1841484249183565,11.826776205052303,68.23173643744036,4.386001176238203,10.98342519828985
99,417250,0.10012114232667536,1.1863854174083062,11.849499414792598,68.13485230968979,4.413029940336819,10.997081573165717
100,417500,0.10014343604509178,1.1931066616834602,11.913977678439531,67.97841927575973,4.467214971855532,11.044765933128016
101,417600,0.10010867016615117,1.199910426582089,11.98607897388496,67.70109138823278,4.54798025548839,11.089723385364257
139,417630,0.10013529644018346,1.2021855941872508,12.005612775165499,66.79995382124463,4.7295229161753385,11.034779159212448
140,417640,0.10015240577442155,1.2037045741503003,12.018728505248955,66.7284410828683,4.748473985698765,11.04091616171529
102,417650,0.10013235593204625,1.2036886491913512,12.020976017065069,67.23436431091548,4.651668261303607,11.084486762572014
141,417660,0.1001465983494223,1.2035678771128426,12.018060492813389,66.45908600992362,4.800059329695052,11.017858614101447
142,417670,0.10013699630383228,1.2034488888328658,12.018024638779876,66.25940994452881,4.838412958236591,11.001030690980205
103,417680,0.10012289539241914,1.200800375157776,11.993264582005839,66.66888430469808,4.749863189910293,11.012592565383091
143,417690,0.10013927979348883,1.1997981883448248,11.981294361404395,65.74413892351129,4.9220609278203,10.923585986178967
104,417700,0.10013028582206585,1.193348653697163,11.917959125950913,66.10841234939801,4.826861027837284,10.896750081826337
105,417710,0.10013288903066207,1.1874106235483135,11.858347792049743,66.04362112219306,4.81497555813713,10.836808696832895
106,417720,0.10013023854217457,1.1799333141320931,11.783985849939912,65.97977324259313,4.79677891902621,10.763514041128474
107,417730,0.100121455448692,1.1747432332740027,11.733181744206753,66.03844754189598,4.765121181975447,10.721994868664858
108,417740,0.10013394472219844,1.1696754033562597,11.681107806161933,66.1640765524769,4.72055621125831,10.684784912927721
109,417750,0.10012747644639829,1.1647030460491083,11.63220214256188,65.73771095511037,4.779839385074889,10.604775440258416
110,417760,0.10012144542073294,1.1620375178828424,11.606279883392595,65.89241833544253,4.740599498333045,10.593981740972
111,417770,0.10012925131228086,1.1598943698213808,11.583971263341702,66.07472430904406,4.697820062355121,10.588620159948135
112,417780,0.10013338936103207,1.1578790064884468,11.563365765176497,66.26590426570687,4.654169157779034,10.585373742576794
113,417790,0.10012580680667592,1.1577126199778056,11.562579687503849,66.37092202010578,4.634444289059327,10.59316643697634
114,417800,0.10013371852867371,1.1580486865788115,11.565022288143624,66.53295212144383,4.605441455874712,10.608470649521983
115,417810,0.10012538528148118,1.1576683493383657,11.562186213654288,66.66333430447469,4.580165470626607,10.616319244488507
116,417820,0.10012151833887818,1.1577593977740475,11.563542153400185,66.77075364536998,4.560788530177536,10.626133592067438
117,417830,0.10010991014754143,1.1594932649511216,11.58220263350818,66.88385120507246,4.547130506396329,10.652277784654494
118,417840,0.10011256799448197,1.1593992323420563,11.580955873651751,66.96765046653081,4.5310581186227274,10.65776952617817
119,417850,0.10012853021350152,1.160612210673303,11.591223881930146,67.04182643019675,4.521261748842923,10.6730812458014
120,417860,0.1001225738130912,1.1609604494122734,11.595391580519635,67.11715547698924,4.508846121368414,10.682856011357948
121,417870,0.10012099546189027,1.1624669134977546,11.610620810699313,67.1552436297132,4.507656080038022,10.699885619666231
122,417880,0.1001244074115904,1.1635669295318578,11.62121164671346,67.25271755066439,4.493541612310305,10.717305814249414
123,417890,0.10012100488138499,1.1640636358209322,11.626567643822769,67.23333529332706,4.49923950974971,10.720723809999665
124,417900,0.1001069201076342,1.1650066283835423,11.637623324450859,67.29754012051598,4.49149009018179,10.735957964317924
125,417950,0.10011794287610302,1.167789052289941,11.664133508367145,67.39841575744202,4.48276969867636,10.768323283113407
126,418000,0.10012097542159827,1.1701679885152878,11.687540833355257,67.52221595931002,4.468441118336147,10.799613173781239
127,418100,0.10012730314533819,1.172721749086103,11.712307355206176,67.59552016407281,4.4640600209309245,10.828218307382933
128,418200,0.10011344992891286,1.1758883555752129,11.745558228291713,67.60418539256472,4.475091022169918,10.859636201893936
129,418500,0.10013117464101089,1.178831312986238,11.772870109759225,67.54699277450527,4.496359979780434,10.880405210905112
130,418750,0.10011386252184425,1.1797162105566281,11.78374483652772,67.53128932636145,4.503497968807583,10.88922166260471
131,419000,0.10013278710185222,1.1818038230344072,11.802366210303424,67.52408271445051,4.511986429154566,10.905862030359499
132,419500,0.10013390524075291,1.184994029646415,11.834093824637344,67.49624337265561,4.52942847996005,10.93298011958526
